Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
1.9,0.5798,1.503,NaN,NaN,NaN,-0.0071,0.0051,-0.007,0.0082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.5296,1.603,NaN,NaN,NaN,-0.0006,0.006,0.0052,0.0122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.4849,1.703,NaN,NaN,NaN,-0.0012,0.0077,0.0197,0.0176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.4451,1.803,NaN,NaN,NaN,-0.0065,0.0089,-0.0241,0.0232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.8857,1.103,NaN,NaN,NaN,0.0001,0.0011,-0.0033,0.0013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.8212,1.203,NaN,NaN,NaN,-0.0008,0.0013,-0.0004,0.0017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.761,1.303,NaN,NaN,NaN,-0.0008,0.0019,0.0012,0.0025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.7052,1.403,NaN,NaN,NaN,-0.001,0.0021,-0.0007,0.0034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.6537,1.503,NaN,NaN,NaN,-0.0001,0.0025,0.001,0.0045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.6064,1.603,NaN,NaN,NaN,0.0002,0.0029,0.0024,0.0057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
2.6,0.563,1.703,NaN,NaN,NaN,-0.0089,0.0041,0.0075,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
