W,x,Q2,g1,dg1(stat),dg1(sys)
2.825,0.1446,1.2,0.1671,0.0256,0.021
2.875,0.1398,1.2,0.1706,0.0267,0.0226
2.925,0.1352,1.2,0.1665,0.0276,0.0241
2.975,0.1309,1.2,0.1228,0.0286,0.0248
1.125,0.7895,1.44,0.0045,0.0145,0.0055
1.175,0.7427,1.44,-0.0266,0.0128,0.0037
1.225,0.6994,1.44,-0.0083,0.0166,0.0025
1.275,0.6594,1.44,0.0366,0.0134,0.003
1.325,0.6223,1.44,0.0278,0.0122,0.004
1.375,0.588,1.44,0.0165,0.0134,0.0057
1.425,0.5562,1.44,0.0747,0.0136,0.007
1.475,0.5267,1.44,0.1514,0.0175,0.0155
1.525,0.4993,1.44,0.1362,0.0164,0.0106
1.575,0.4739,1.44,0.1256,0.0144,0.0083
1.625,0.4502,1.44,0.1244,0.0151,0.0087
1.675,0.4281,1.44,0.1401,0.0187,0.0099
1.725,0.4075,1.44,0.1828,0.0182,0.0118
1.775,0.3883,1.44,0.1456,0.0174,0.0123
1.825,0.3703,1.44,0.1667,0.0183,0.0159
1.875,0.3535,1.44,0.1004,0.0183,0.0176
1.925,0.3377,1.44,0.1162,0.0181,0.0192
1.975,0.323,1.44,0.13,0.0178,0.0205
2.025,0.3091,1.44,0.1511,0.0181,0.0145
2.075,0.2961,1.44,0.1483,0.0173,0.0191
2.125,0.2838,1.44,0.1518,0.0183,0.0178
2.175,0.2723,1.44,0.1771,0.0204,0.0174
2.225,0.2614,1.44,0.1959,0.0216,0.0175
2.275,0.2511,1.44,0.1998,0.0207,0.0172
2.325,0.2415,1.44,0.151,0.0206,0.0175
2.375,0.2323,1.44,0.2054,0.0203,0.0179
2.425,0.2236,1.44,0.1696,0.0204,0.0179
2.475,0.2154,1.44,0.1823,0.0216,0.0179
2.525,0.2077,1.44,0.1698,0.0219,0.0184
2.575,0.2003,1.44,0.2155,0.023,0.0201
2.625,0.1933,1.44,0.2061,0.0237,0.0211
2.675,0.1867,1.44,0.2058,0.0236,0.0216
2.725,0.1804,1.44,0.2335,0.0251,0.0225
2.775,0.1744,1.44,0.213,0.0239,0.0242
2.825,0.1686,1.44,0.2203,0.0266,0.029
2.875,0.1632,1.44,0.2234,0.0247,0.0347
2.925,0.158,1.44,0.2287,0.0313,0.0456
1.125,0.8167,1.71,0.0086,0.013,0.0053
1.175,0.7741,1.71,-0.0288,0.0115,0.0033
1.225,0.7343,1.71,-0.0087,0.0125,0.0018
1.275,0.6969,1.71,0.0179,0.0096,0.0024
1.325,0.6618,1.71,0.0171,0.0089,0.0034
1.375,0.6289,1.71,0.0552,0.0106,0.0047
1.425,0.5981,1.71,0.0547,0.0113,0.0057
1.525,0.5422,1.71,0.1425,0.0136,0.0097
1.575,0.5168,1.71,0.0809,0.0122,0.0068
1.625,0.493,1.71,0.1111,0.0136,0.0081
1.675,0.4706,1.71,0.1367,0.0162,0.009
1.725,0.4495,1.71,0.1437,0.0152,0.0103
1.775,0.4298,1.71,0.157,0.0148,0.0113
1.825,0.4112,1.71,0.1144,0.0144,0.0137
1.875,0.3937,1.71,0.1235,0.0147,0.0161
1.925,0.3772,1.71,0.1323,0.0142,0.0171
1.975,0.3616,1.71,0.1261,0.0148,0.0181
2.025,0.3469,1.71,0.1247,0.0145,0.0129
2.075,0.3331,1.71,0.1383,0.0149,0.0178
2.125,0.32,1.71,0.156,0.0157,0.0164
2.175,0.3076,1.71,0.1401,0.0162,0.0158
2.225,0.2959,1.71,0.1629,0.017,0.016
2.275,0.2848,1.71,0.1752,0.0173,0.0163
2.325,0.2743,1.71,0.1709,0.0187,0.0172
2.375,0.2643,1.71,0.1963,0.018,0.0172
2.425,0.2549,1.71,0.1698,0.0181,0.0178
