Q2,X,W,Theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot),Experiment
2.6,0.5233,1.803,,,,-0.0043,0.00457,0.0008,0.0046,0.0056,0.0105,0.0014,0.0106,,,,,,,,,,,,,,,,Solvignon
3.3,0.9077,1.103,,,,-0.0002,0.00053,0.0,0.0005,-0.0024,0.0008,0.0001,0.0008,,,,,,,,,,,,,,,,Solvignon
3.3,0.8536,1.203,,,,0.0008,0.00052,0.0,0.0005,-0.0011,0.001,0.0002,0.001,,,,,,,,,,,,,,,,Solvignon
3.3,0.8016,1.303,,,,0.0012,0.00066,0.0003,0.0007,-0.0015,0.0015,0.0003,0.0015,,,,,,,,,,,,,,,,Solvignon
3.3,0.7522,1.403,,,,0.0012,0.00105,0.0,0.0011,-0.0038,0.0022,0.0001,0.0023,,,,,,,,,,,,,,,,Solvignon
3.3,0.7055,1.503,,,,0.0003,0.00151,0.0,0.0015,0.0007,0.0031,0.0001,0.0031,,,,,,,,,,,,,,,,Solvignon
3.3,0.6616,1.603,,,,0.0008,0.00202,0.0001,0.002,0.0039,0.0043,0.0005,0.0043,,,,,,,,,,,,,,,,Solvignon
3.3,0.6205,1.703,,,,0.0016,0.00283,0.0001,0.0028,-0.0058,0.007,0.0006,0.007,,,,,,,,,,,,,,,,Solvignon
3.3,0.5821,1.803,,,,0.0031,0.00392,0.0006,0.004,0.0235,0.012,0.0026,0.0123,,,,,,,,,,,,,,,,Solvignon
1.22,0.735,1.15,,,,,,,,,,,,,,,,-0.0214,0.0085,0.0053,0.01,,,,,,,,Solvignon
1.16,0.631,1.25,,,,,,,,,,,,,,,,-0.0422,0.0081,0.0078,0.0112,,,,,,,,Solvignon
1.1,0.539,1.35,,,,,,,,,,,,,,,,-0.0377,0.0081,0.005,0.0095,,,,,,,,Solvignon
1.04,0.459,1.45,,,,,,,,,,,,,,,,-0.0189,0.0073,0.0026,0.0077,,,,,,,,Solvignon
0.97,0.389,1.55,,,,,,,,,,,,,,,,-0.0101,0.0076,0.0011,0.0077,,,,,,,,Solvignon
0.89,0.327,1.65,,,,,,,,,,,,,,,,-0.0077,0.0073,0.0012,0.0074,,,,,,,,Solvignon
0.81,0.272,1.75,,,,,,,,,,,,,,,,-0.0135,0.0062,0.0022,0.0066,,,,,,,,Solvignon
0.73,0.223,1.85,,,,,,,,,,,,,,,,-0.0022,0.0074,0.0015,0.0076,,,,,,,,Solvignon
2.0,0.782,1.2,,,,,,,,,,,,,,,,-0.0077,0.0163,0.0121,0.0203,,,,,,,,Solvignon
1.85,0.632,1.4,,,,,,,,,,,,,,,,-0.0398,0.0143,0.0045,0.015,,,,,,,,Solvignon
1.68,0.501,1.6,,,,,,,,,,,,,,,,-0.0033,0.0107,0.0013,0.0108,,,,,,,,Solvignon
1.48,0.387,1.8,,,,,,,,,,,,,,,,-0.0004,0.0106,0.0044,0.0115,,,,,,,,Solvignon
1.32,0.312,1.95,,,,,,,,,,,,,,,,-0.0238,0.0193,0.0021,0.0194,,,,,,,,Solvignon
2.95,0.841,1.2,,,,,,,,,,,,,,,,0.0171,0.0105,0.0035,0.0111,,,,,,,,Solvignon
2.77,0.72,1.4,,,,,,,,,,,,,,,,0.0027,0.0105,0.0003,0.0105,,,,,,,,Solvignon
