Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
,0.0642,1.2277,,2.135,0.357,-0.3359,0.0409,0.4104,0.0806,,,,,,,,,7
,0.0621,1.2354,,2.135,0.367,-0.3889,0.0423,0.2668,0.0824,,,,,,,,,7
,0.0601,1.2431,,2.135,0.377,-0.3799,0.0423,0.3963,0.1531,,,,,,,,,7
,0.0582,1.2508,,2.135,0.3871,-0.3374,0.0409,0.3544,0.0897,,,,,,,,,7
,0.0564,1.2583,,2.135,0.3971,-0.2827,0.0391,0.1916,0.0907,,,,,,,,,7
,0.0547,1.2658,,2.135,0.407,-0.3196,0.0401,0.3503,0.095,,,,,,,,,7
,0.0531,1.2733,,2.135,0.417,-0.2446,0.0386,0.3537,0.0988,,,,,,,,,7
,0.0515,1.2808,,2.135,0.427,-0.2361,0.0386,0.158,0.1007,,,,,,,,,7
,0.0501,1.2882,,2.135,0.437,-0.1213,0.0374,0.3513,0.1056,,,,,,,,,7
,0.0486,1.2955,,2.135,0.447,-0.225,0.0395,0.2035,0.1095,,,,,,,,,7
,0.0474,1.3022,,2.135,0.4561,-0.1362,0.0459,0.4581,0.1331,,,,,,,,,7
,0.0459,1.3104,,2.135,0.4675,-0.0821,0.0489,0.1385,0.1744,,,,,,,,,7
,0.0448,1.3174,,2.135,0.4771,-0.1055,0.0342,0.2174,0.1479,,,,,,,,,7
,0.0436,1.3245,,2.135,0.487,-0.1366,0.0339,-0.0533,0.1499,,,,,,,,,7
,0.0425,1.3317,,2.135,0.497,-0.0882,0.0337,0.2398,0.1545,,,,,,,,,7
,0.0414,1.3388,,2.135,0.5071,-0.1081,0.0346,0.077,0.1595,,,,,,,,,7
,0.0403,1.3459,,2.135,0.517,-0.118,0.0379,-0.1723,0.1646,,,,,,,,,7
,0.0393,1.3529,,2.135,0.527,-0.1315,0.035,0.0016,0.169,,,,,,,,,7
,0.0383,1.36,,2.135,0.537,-0.0701,0.0355,-0.112,0.1746,,,,,,,,,7
,0.0374,1.3669,,2.135,0.547,-0.0259,0.0351,0.0896,0.1819,,,,,,,,,7
,0.0365,1.3738,,2.135,0.557,-0.0416,0.0367,-0.0618,0.1887,,,,,,,,,7
,0.0356,1.3807,,2.135,0.567,0.0091,0.0361,0.3528,0.1966,,,,,,,,,7
,0.0348,1.3876,,2.135,0.577,-0.1014,0.0377,0.0859,0.2058,,,,,,,,,7
,0.034,1.3939,,2.135,0.5862,-0.1338,0.0539,0.2195,0.2774,,,,,,,,,7
,0.0332,1.4007,,2.135,0.5962,0.0025,0.1019,0.4374,0.3867,,,,,,,,,7
,0.0324,1.408,,2.135,0.6071,-0.0006,0.1097,0.126,0.4369,,,,,,,,,7
,0.0317,1.4147,,2.135,0.617,0.0562,0.1121,0.0372,0.4565,,,,,,,,,7
,0.031,1.4214,,2.135,0.627,-0.1496,0.1129,0.1951,0.467,,,,,,,,,7
,0.0303,1.4281,,2.135,0.637,-0.0038,0.1137,0.366,0.4819,,,,,,,,,7
,0.0296,1.4348,,2.135,0.647,-0.0997,0.1145,0.1746,0.4952,,,,,,,,,7
,0.029,1.4414,,2.135,0.657,0.1232,0.1154,0.799,0.5101,,,,,,,,,7
,0.0284,1.448,,2.135,0.667,-0.1047,0.1164,-0.6654,0.5225,,,,,,,,,7
,0.0277,1.4545,,2.135,0.677,-0.026,0.1176,1.1853,0.5424,,,,,,,,,7
,0.0272,1.461,,2.135,0.687,-0.1735,0.1196,0.2243,0.5559,,,,,,,,,7
,0.0266,1.4675,,2.135,0.697,-0.2454,0.1233,0.8569,0.5846,,,,,,,,,7
,0.0261,1.4736,,2.135,0.7064,0.0079,0.0874,-0.1686,0.566,,,,,,,,,7
,0.0255,1.4804,,2.135,0.717,-0.0774,0.0887,0.4295,0.6346,,,,,,,,,7
,0.0249,1.4868,,2.135,0.727,-0.1535,0.0898,1.8804,0.6605,,,,,,,,,7
,0.0244,1.4932,,2.135,0.737,0.029,0.0895,-0.182,0.6669,,,,,,,,,7
,0.0239,1.4995,,2.135,0.747,-0.1823,0.0916,0.0788,0.6909,,,,,,,,,7
,0.0234,1.5058,,2.135,0.757,-0.0493,0.0907,-0.5356,0.7011,,,,,,,,,7
,0.023,1.5122,,2.135,0.767,-0.0445,0.0913,-0.5459,0.7187,,,,,,,,,7
,0.0225,1.5184,,2.135,0.777,-0.1942,0.093,-0.1552,0.7407,,,,,,,,,7
,0.0221,1.5247,,2.135,0.787,-0.0919,0.0932,-0.2019,0.7554,,,,,,,,,7
,0.0216,1.5309,,2.135,0.797,0.1253,0.0933,-0.335,0.7687,,,,,,,,,7
,0.0212,1.5371,,2.135,0.807,-0.2712,0.1136,-0.9853,0.8255,,,,,,,,,7
,0.0208,1.5433,,2.135,0.8171,-0.039,0.1111,1.5678,1.0258,,,,,,,,,7
,0.0204,1.5494,,2.135,0.827,-0.0527,0.1079,0.1118,1.0239,,,,,,,,,7
,0.02,1.5555,,2.135,0.837,-0.1777,0.1143,0.7306,1.0513,,,,,,,,,7
,0.0196,1.5616,,2.135,0.847,0.01,0.1087,0.0213,1.0667,,,,,,,,,7
,0.0192,1.5677,,2.135,0.857,-0.1446,0.11,-0.2543,1.0972,,,,,,,,,7
,0.0188,1.5738,,2.135,0.867,-0.2283,0.1102,0.6096,1.1151,,,,,,,,,7
,0.0185,1.5798,,2.135,0.877,-0.0093,0.11,0.1154,1.137,,,,,,,,,7
,0.0181,1.5858,,2.135,0.8871,-0.1077,0.1112,-2.2087,1.1732,,,,,,,,,7
,0.0178,1.5917,,2.135,0.8968,-0.0621,0.1121,1.1129,1.1937,,,,,,,,,7
,0.0175,1.5975,,2.135,0.9066,-0.1409,0.0988,1.4921,1.1571,,,,,,,,,7
,0.0171,1.6037,,2.135,0.9171,-0.1466,0.1013,-0.6432,1.2491,,,,,,,,,7
,0.0168,1.6096,,2.135,0.927,0.0263,0.0999,0.4946,1.2573,,,,,,,,,7
,0.0165,1.6155,,2.135,0.937,-0.1258,0.1016,0.3366,1.2971,,,,,,,,,7
,0.0162,1.6213,,2.135,0.947,-0.2064,0.1027,1.5511,1.328,,,,,,,,,7
,0.0159,1.6272,,2.135,0.957,-0.1797,0.1022,-0.8135,1.3481,,,,,,,,,7
,0.0156,1.633,,2.135,0.967,-0.0774,0.1037,2.657,1.3982,,,,,,,,,7
,0.0153,1.6388,,2.135,0.977,-0.1216,0.1024,0.4056,1.3967,,,,,,,,,7
,0.015,1.6447,,2.135,0.9872,-0.2899,0.1073,0.0637,1.4208,,,,,,,,,7
,0.0147,1.6507,,2.135,0.9976,-0.3024,0.1162,-1.325,1.2496,,,,,,,,,7
,0.0144,1.6561,,2.135,1.007,-0.3788,0.109,-0.0508,1.1844,,,,,,,,,7
,0.0142,1.6619,,2.135,1.0171,-0.1233,0.1082,0.1768,1.2132,,,,,,,,,7
,0.0139,1.6676,,2.135,1.027,-0.1126,0.1084,-1.9051,1.2423,,,,,,,,,7
,0.0136,1.6733,,2.135,1.037,-0.2947,0.11,-0.0397,1.2533,,,,,,,,,7
,0.0134,1.679,,2.135,1.0471,0.0049,0.1093,-1.9994,1.2924,,,,,,,,,7
,0.0131,1.6846,,2.135,1.057,-0.1515,0.1108,1.0592,1.3206,,,,,,,,,7
,0.0129,1.6902,,2.135,1.0669,-0.1344,0.1104,0.7061,1.3418,,,,,,,,,7
,0.0127,1.6956,,2.135,1.0766,-0.3054,0.1725,-0.0762,1.6291,,,,,,,,,7
,0.0124,1.7015,,2.135,1.087,-0.0048,0.1652,0.6366,2.1358,,,,,,,,,7
