W,Theta,Eb,nu,g1,dg1(tot),g2,dg2(tot),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot)
2.0511,15.5,3.3818,1.9593,-0.4009,0.0548,0.3512,0.241,-0.3056,1.55,-8.822,1.2
2.1273,15.5,3.3818,2.1093,-0.4383,0.0737,0.2755,0.288,-0.8176,1.51,-8.663,1.45
2.2009,15.5,3.3818,2.2593,-0.4579,0.0631,0.1828,0.429,-1.131,1.82,-8.268,1.19
0.7955,15.5,4.2386,0.4848,-0.0,0.0,0.0002,0.0,0.0229,0.0077,-0.066,0.0124
0.8291,15.5,4.2386,0.5098,-0.0111,0.0074,-0.0035,0.0036,-2.396,1.36,0.33,1.38
0.8614,15.5,4.2386,0.5348,0.0003,0.0095,-0.023,0.0053,-3.395,1.65,6.885,1.72
0.8926,15.5,4.2386,0.5598,0.0251,0.0124,-0.0356,0.0072,-1.421,1.98,10.98,2.05
0.9227,15.5,4.2386,0.5848,0.0127,0.0144,-0.0645,0.01,-6.419,2.24,15.37,2.44
0.9518,15.5,4.2386,0.6098,0.0158,0.0158,-0.0816,0.0119,-7.48,2.34,17.12,2.57
0.9801,15.5,4.2386,0.6348,-0.0024,0.0161,-0.0633,0.0111,-6.859,2.08,10.83,2.17
1.0076,15.5,4.2386,0.6598,0.0309,0.0165,-0.0583,0.0114,-2.64,1.96,10.8,2.01
1.0343,15.5,4.2386,0.6848,0.0109,0.0152,-0.0324,0.0114,-1.918,1.73,5.05,1.79
1.0604,15.5,4.2386,0.7098,0.0307,0.0147,-0.0191,0.0105,0.9564,1.52,4.043,1.52
1.0858,15.5,4.2386,0.7348,0.0109,0.0083,-0.0138,0.0066,-0.2222,0.835,2.094,0.849
1.1254,15.5,4.2386,0.7748,-0.0104,0.0074,0.0031,0.0068,-0.504,0.711,-0.815,0.727
1.1636,15.5,4.2386,0.8148,-0.0341,0.0083,0.0235,0.0079,-0.6536,0.732,-3.502,0.74
1.2005,15.5,4.2386,0.8548,-0.0472,0.0095,0.0401,0.0095,-0.4001,0.773,-4.877,0.774
1.2364,15.5,4.2386,0.8948,-0.0617,0.0116,0.0684,0.0113,0.3388,0.838,-6.685,0.831
1.2712,15.5,4.2386,0.9348,-0.0776,0.0113,0.0733,0.0122,-0.1966,0.788,-6.962,0.775
1.3052,15.5,4.2386,0.9748,-0.0861,0.0125,0.079,0.0129,-0.3016,0.769,-6.953,0.758
1.3382,15.5,4.2386,1.0148,-0.0623,0.011,0.0724,0.014,0.3889,0.716,-5.202,0.688
1.3705,15.5,4.2386,1.0548,-0.0455,0.0116,0.0626,0.016,0.608,0.731,-3.815,0.691
1.402,15.5,4.2386,1.0948,-0.0294,0.0142,0.0578,0.019,0.9321,0.803,-2.776,0.763
1.4328,15.5,4.2386,1.1348,-0.0107,0.0144,0.0609,0.0197,1.521,0.763,-1.97,0.723
1.463,15.5,4.2386,1.1748,-0.006,0.0151,0.0732,0.0221,1.889,0.777,-1.907,0.726
1.4926,15.5,4.2386,1.2148,0.0076,0.0151,0.0785,0.0239,2.249,0.765,-1.379,0.702
1.5216,15.5,4.2386,1.2548,0.014,0.015,0.0533,0.0252,1.637,0.739,-0.5442,0.668
1.55,15.5,4.2386,1.2948,0.0067,0.0167,0.0552,0.0277,1.405,0.758,-0.7143,0.692
1.578,15.5,4.2386,1.3348,0.0206,0.0198,0.0808,0.0351,2.149,0.884,-0.5985,0.794
1.7044,15.5,4.2386,1.5248,-0.0275,0.0146,0.0525,0.0292,0.3936,0.527,-1.215,0.47
1.798,15.5,4.2386,1.6748,-0.0615,0.0204,0.074,0.0431,0.1576,0.616,-1.963,0.567
1.8869,15.5,4.2386,1.8248,-0.1233,0.0223,0.0305,0.0587,-0.9598,0.667,-2.848,0.565
1.9719,15.5,4.2386,1.9748,-0.122,0.0412,0.0815,0.0879,-0.3467,0.833,-2.762,0.891
2.0533,15.5,4.2386,2.1248,-0.2131,0.0297,0.2688,0.121,0.3975,0.921,-4.733,0.648
2.1316,15.5,4.2386,2.2748,-0.2654,0.049,0.3984,0.156,0.7984,0.998,-5.476,0.918
2.2071,15.5,4.2386,2.4248,-0.2657,0.0354,0.3401,0.183,0.3777,0.974,-4.908,0.649
1.8835,15.5,5.0582,2.0175,-0.0923,0.02,0.0806,0.0497,-0.1213,0.573,-2.266,0.48
1.9708,15.5,5.0582,2.1675,-0.1481,0.0396,0.1329,0.107,-0.1331,1.03,-3.282,0.854
2.0545,15.5,5.0582,2.3175,-0.1751,0.0413,0.0521,0.122,-0.9183,0.986,-3.185,0.813
2.1348,15.5,5.0582,2.4675,-0.1315,0.031,0.1261,0.127,-0.0346,0.867,-2.447,0.597
2.2123,15.5,5.0582,2.6175,-0.1993,0.0441,0.1382,0.251,-0.3375,1.46,-3.316,0.84
2.2871,15.5,5.0582,2.7675,-0.2317,0.0533,0.6971,0.28,2.227,1.41,-4.45,0.888
2.3595,15.5,5.0582,2.9175,-0.2102,0.0579,0.0127,0.26,-0.8223,1.13,-2.893,0.857
