W,x,Q2,A1,dA1(stat),dA1(sys),,,	
1.47,0.0732,0.101,-0.0341,0.0786,0.038,,,
1.49,0.0702,0.101,0.2157,0.0716,0.0351,,,
1.51,0.0674,0.101,0.1277,0.0663,0.0309,,,
1.53,0.0647,0.101,-0.0723,0.067,0.0281,,,
1.55,0.0623,0.101,0.0497,0.0711,0.0267,,,
1.57,0.06,0.101,0.1439,0.0744,0.0272,,,
1.59,0.0578,0.101,-0.0454,0.0776,0.0223,,,
1.61,0.0558,0.101,0.049,0.0802,0.0212,,,
1.63,0.0538,0.101,0.1146,0.073,0.0207,,,
1.11,0.2551,0.12,-0.099,0.7716,0.5934,,,
1.13,0.2329,0.12,0.7889,0.4061,0.3593,,,
1.15,0.214,0.12,-0.1576,0.2379,0.2345,,,
1.17,0.1976,0.12,-0.3647,0.1634,0.1444,,,
1.19,0.1834,0.12,-0.3677,0.1142,0.1062,,,
1.21,0.1708,0.12,-0.3655,0.0919,0.089,,,
1.23,0.1597,0.12,-0.233,0.0835,0.0789,,,
1.25,0.1499,0.12,-0.3601,0.0849,0.0892,,,
1.27,0.141,0.12,-0.1021,0.0982,0.0917,,,
1.29,0.133,0.12,-0.1973,0.1077,0.1011,,,
1.31,0.1257,0.12,-0.093,0.118,0.1016,,,
1.33,0.1191,0.12,0.2203,0.1185,0.0966,,,
1.35,0.1131,0.12,0.1823,0.1188,0.0891,,,
1.37,0.1076,0.12,0.252,0.1146,0.0789,,,
1.39,0.1025,0.12,0.1946,0.1122,0.0689,,,
1.41,0.0979,0.12,0.0236,0.1044,0.0593,,,
1.43,0.0935,0.12,-0.0655,0.0966,0.0502,,,
1.45,0.0895,0.12,-0.0962,0.0899,0.0423,,,
1.47,0.0858,0.12,0.0561,0.0786,0.0354,,,
1.49,0.0823,0.12,0.2203,0.0725,0.0309,,,
1.51,0.079,0.12,0.0462,0.0672,0.0262,,,
1.53,0.076,0.12,0.0093,0.0701,0.0246,,,
1.55,0.0731,0.12,0.051,0.0743,0.0247,,,
1.57,0.0705,0.12,0.0077,0.0789,0.0237,,,
1.59,0.0679,0.12,-0.0748,0.0765,0.0228,,,
1.61,0.0656,0.12,0.1088,0.0759,0.0229,,,
1.63,0.0633,0.12,-0.0417,0.0701,0.0195,,,
1.11,0.2913,0.144,-0.7596,0.7261,0.6282,,,
1.13,0.2671,0.144,0.2673,0.3891,0.3705,,,
1.15,0.2462,0.144,0.3359,0.2377,0.2302,,,
1.17,0.2281,0.144,-0.2889,0.168,0.1407,,,
1.19,0.2123,0.144,-0.3764,0.1207,0.1086,,,
1.21,0.1982,0.144,-0.4849,0.0952,0.1007,,,
1.23,0.1858,0.144,-0.3091,0.0855,0.0841,,,
1.25,0.1746,0.144,-0.2064,0.0882,0.0849,,,
1.27,0.1645,0.144,-0.1087,0.0949,0.0918,,,
1.29,0.1554,0.144,-0.159,0.1087,0.1015,,,
1.31,0.1472,0.144,0.0325,0.1165,0.1008,,,
1.33,0.1396,0.144,0.0162,0.1235,0.0988,,,
1.35,0.1327,0.144,0.129,0.1189,0.0906,,,
1.37,0.1264,0.144,0.1258,0.1211,0.0805,,,
1.39,0.1206,0.144,0.1658,0.1214,0.0701,,,
1.41,0.1152,0.144,0.1453,0.105,0.0606,,,
1.43,0.1102,0.144,0.0067,0.098,0.0515,,,
1.45,0.1055,0.144,0.0776,0.0869,0.043,,,
1.47,0.1012,0.144,-0.0619,0.0808,0.0346,,,
1.49,0.0971,0.144,-0.0127,0.0707,0.0284,,,
1.51,0.0934,0.144,0.0686,0.0657,0.0252,,,
1.53,0.0898,0.144,0.0098,0.0654,0.024,,,
1.55,0.0865,0.144,0.1077,0.0678,0.0255,,,
1.57,0.0834,0.144,0.1499,0.0674,0.0262,,,
1.59,0.0804,0.144,0.0567,0.072,0.0241,,,
1.61,0.0777,0.144,0.0439,0.0674,0.0227,,,
1.11,0.328,0.171,-0.019,0.7302,0.6111,,,
1.13,0.302,0.171,-0.1143,0.3792,0.3842,,,
1.15,0.2795,0.171,-0.3239,0.2364,0.2316,,,
1.17,0.2598,0.171,-0.2802,0.1612,0.1386,,,
1.19,0.2424,0.171,-0.1859,0.1108,0.1001,,,
1.21,0.227,0.171,-0.5902,0.0897,0.1195,,,
1.23,0.2132,0.171,-0.2928,0.0804,0.0858,,,
1.25,0.2008,0.171,-0.23,0.0872,0.0872,,,
1.27,0.1895,0.171,0.0311,0.0943,0.0889,,,
1.29,0.1794,0.171,-0.2694,0.1028,0.1078,,,
1.31,0.1701,0.171,-0.0783,0.1083,0.1028,,,
1.33,0.1616,0.171,-0.0371,0.1119,0.0998,,,
1.35,0.1538,0.171,0.2618,0.1115,0.0901,,,
1.37,0.1466,0.171,0.1391,0.1022,0.0804,,,
1.39,0.14,0.171,0.0503,0.0908,0.0711,,,
1.41,0.1339,0.171,0.0671,0.0839,0.0617,,,
1.43,0.1282,0.171,0.2276,0.0802,0.0528,,,
1.45,0.1229,0.171,0.072,0.0692,0.0443,,,
1.47,0.1179,0.171,0.0814,0.0594,0.0356,,,
1.49,0.1133,0.171,0.0882,0.0488,0.029,,,
1.51,0.109,0.171,0.1237,0.0446,0.0261,,,
1.53,0.1049,0.171,0.2094,0.0422,0.0271,,,
1.55,0.1011,0.171,0.0992,0.0415,0.0268,,,
1.57,0.0975,0.171,0.1102,0.043,0.027,,,
1.59,0.0941,0.171,0.0924,0.0435,0.0262,,,
1.61,0.0909,0.171,0.1174,0.0419,0.0252,,,
1.11,0.3691,0.205,0.639,0.5987,0.5943,,,
1.13,0.3416,0.205,0.1313,0.3056,0.3796,,,
1.15,0.3174,0.205,-0.1307,0.1813,0.2286,,,
1.17,0.2962,0.205,-0.4535,0.1153,0.1419,,,
1.19,0.2773,0.205,-0.5255,0.0794,0.1331,,,
1.21,0.2604,0.205,-0.4588,0.0601,0.1137,,,
1.23,0.2452,0.205,-0.4816,0.056,0.111,,,
1.25,0.2314,0.205,-0.2742,0.0571,0.0931,,,
1.27,0.219,0.205,-0.093,0.0605,0.0912,,,
1.29,0.2076,0.205,-0.0693,0.0649,0.0992,,,
1.31,0.1972,0.205,-0.0877,0.0692,0.1034,,,
1.33,0.1877,0.205,0.0196,0.0714,0.0982,,,
1.35,0.1789,0.205,0.0306,0.0684,0.0908,,,
1.37,0.1708,0.205,0.1488,0.0628,0.0803,,,
1.39,0.1633,0.205,0.142,0.0578,0.0713,,,
1.41,0.1563,0.205,0.1157,0.0545,0.0632,,,
1.43,0.1498,0.205,0.1788,0.0504,0.0553,,,
1.45,0.1438,0.205,0.1135,0.044,0.0472,,,
1.47,0.1381,0.205,0.1064,0.0381,0.0387,,,
1.49,0.1328,0.205,0.1848,0.0331,0.0318,,,
1.51,0.1279,0.205,0.1812,0.0303,0.0287,,,
1.53,0.1232,0.205,0.1593,0.0295,0.0288,,,
1.55,0.1188,0.205,0.1724,0.0309,0.0299,,,
1.57,0.1146,0.205,0.1198,0.0323,0.0295,,,
1.59,0.1107,0.205,0.0825,0.0327,0.0281,,,
1.11,0.4105,0.244,0.77,0.48,0.5932,,,
1.13,0.3817,0.244,-0.184,0.2448,0.3835,,,
1.15,0.3563,0.244,0.0042,0.1545,0.2299,,,
1.17,0.3337,0.244,-0.3099,0.1003,0.1341,,,
1.19,0.3135,0.244,-0.3759,0.0648,0.1201,,,
1.21,0.2953,0.244,-0.5233,0.0511,0.1329,,,
1.23,0.2788,0.244,-0.4825,0.0447,0.1208,,,
1.25,0.2638,0.244,-0.3284,0.0453,0.1036,,,
1.27,0.2502,0.244,-0.1678,0.0475,0.0963,,,
1.29,0.2377,0.244,-0.025,0.0545,0.0964,,,
1.31,0.2263,0.244,-0.066,0.0565,0.1016,,,
1.33,0.2157,0.244,0.0947,0.0552,0.0952,,,
1.35,0.2059,0.244,0.1347,0.0585,0.088,,,
1.37,0.1969,0.244,0.0374,0.0568,0.0802,,,
1.39,0.1885,0.244,0.2495,0.0543,0.0722,,,
1.41,0.1807,0.244,0.1246,0.0498,0.0653,,,
1.43,0.1734,0.244,0.1928,0.0447,0.059,,,
1.45,0.1666,0.244,0.2143,0.0397,0.0521,,,
1.47,0.1602,0.244,0.1756,0.0355,0.0438,,,
1.49,0.1542,0.244,0.2458,0.0316,0.0371,,,
1.51,0.1486,0.244,0.2454,0.0288,0.0327,,,
1.53,0.1433,0.244,0.2429,0.0286,0.0328,,,
1.55,0.1383,0.244,0.2052,0.0289,0.034,,,
1.57,0.1335,0.244,0.1834,0.0316,0.0335,,,
1.59,0.1291,0.244,0.106,0.0322,0.0319,,,
1.13,0.4249,0.292,-0.0313,0.232,0.3904,,,
1.15,0.3985,0.292,0.019,0.1327,0.2323,,,
1.17,0.3748,0.292,-0.2883,0.0879,0.1291,,,
1.19,0.3533,0.292,-0.4106,0.0634,0.1295,,,
1.21,0.334,0.292,-0.5162,0.0466,0.1425,,,
1.23,0.3163,0.292,-0.4233,0.0433,0.1202,,,
1.25,0.3002,0.292,-0.3176,0.0447,0.1074,,,
1.27,0.2854,0.292,-0.1719,0.0491,0.0971,,,
1.29,0.2718,0.292,-0.0793,0.0567,0.0973,,,
1.31,0.2592,0.292,-0.041,0.06,0.0984,,,
1.33,0.2476,0.292,0.0923,0.0634,0.0924,,,
1.35,0.2369,0.292,0.1033,0.0613,0.0859,,,
1.37,0.2269,0.292,0.1354,0.0572,0.0789,,,
1.39,0.2175,0.292,0.0961,0.0545,0.0738,,,
1.41,0.2088,0.292,0.2485,0.05,0.0706,,,
1.43,0.2007,0.292,0.2426,0.0467,0.0661,,,
1.45,0.193,0.292,0.1603,0.0404,0.0592,,,
1.47,0.1858,0.292,0.241,0.038,0.0519,,,
1.49,0.1791,0.292,0.251,0.0303,0.0439,,,
1.51,0.1727,0.292,0.302,0.0279,0.0387,,,
1.53,0.1667,0.292,0.255,0.0273,0.0382,,,
1.55,0.1611,0.292,0.2815,0.0281,0.0393,,,
1.57,0.1557,0.292,0.2153,0.0286,0.038,,,
1.59,0.1506,0.292,0.1551,0.0301,0.0346,,,
1.11,0.4983,0.348,0.7435,0.4399,0.5701,,,
1.13,0.4683,0.348,0.5345,0.2261,0.3674,,,
1.15,0.4412,0.348,0.158,0.1296,0.2248,,,
1.17,0.4167,0.348,-0.3919,0.086,0.1277,,,
1.19,0.3944,0.348,-0.567,0.0587,0.1481,,,
1.21,0.374,0.348,-0.3558,0.047,0.105,,,
1.23,0.3554,0.348,-0.3921,0.0428,0.1066,,,
1.25,0.3383,0.348,-0.33,0.043,0.1023,,,
1.27,0.3225,0.348,-0.1871,0.0457,0.0933,,,
1.29,0.3079,0.348,-0.059,0.051,0.0915,,,
1.31,0.2943,0.348,0.0837,0.0528,0.0903,,,
1.33,0.2817,0.348,0.1539,0.0543,0.0879,,,
1.35,0.27,0.348,0.1996,0.0563,0.0833,,,
1.37,0.2591,0.348,0.2508,0.0556,0.079,,,
1.39,0.2489,0.348,0.1613,0.0529,0.0755,,,
1.41,0.2393,0.348,0.1715,0.0514,0.0738,,,
1.43,0.2303,0.348,0.2439,0.0478,0.0715,,,
1.45,0.2218,0.348,0.2122,0.0427,0.0656,,,
1.47,0.2139,0.348,0.2892,0.0369,0.0586,,,
1.49,0.2064,0.348,0.3688,0.0312,0.0521,,,
1.51,0.1993,0.348,0.2689,0.0271,0.0432,,,
1.53,0.1926,0.348,0.3111,0.0266,0.0431,,,
1.55,0.1862,0.348,0.2966,0.0274,0.0445,,,
1.57,0.1802,0.348,0.1972,0.0307,0.0443,,,
1.59,0.1745,0.348,0.2028,0.0318,0.0396,,,
1.11,0.5428,0.416,0.8897,0.448,0.5143,,,
1.13,0.5128,0.416,0.3091,0.2385,0.3334,,,
1.15,0.4855,0.416,0.0386,0.1417,0.2033,,,
1.17,0.4606,0.416,-0.2216,0.0839,0.113,,,
1.19,0.4377,0.416,-0.3921,0.0586,0.11,,,
1.21,0.4167,0.416,-0.466,0.044,0.1121,,,
1.23,0.3973,0.416,-0.3552,0.0407,0.0916,,,
1.25,0.3793,0.416,-0.3012,0.0418,0.0898,,,
1.27,0.3626,0.416,-0.1521,0.0482,0.0842,,,
1.29,0.3471,0.416,-0.0323,0.0519,0.0849,,,
1.31,0.3327,0.416,0.0318,0.0562,0.0861,,,
1.33,0.3192,0.416,0.1118,0.0537,0.0835,,,
1.35,0.3066,0.416,0.2384,0.0534,0.0804,,,
1.37,0.2948,0.416,0.261,0.0489,0.0778,,,
1.39,0.2837,0.416,0.2548,0.0475,0.0768,,,
1.41,0.2733,0.416,0.216,0.0465,0.0766,,,
1.43,0.2634,0.416,0.3232,0.0452,0.0758,,,
1.45,0.2542,0.416,0.2441,0.0417,0.0703,,,
1.47,0.2454,0.416,0.348,0.0372,0.064,,,
1.49,0.2371,0.416,0.392,0.034,0.0564,,,
1.51,0.2293,0.416,0.416,0.031,0.0471,,,
1.53,0.2218,0.416,0.4396,0.0318,0.0451,,,
1.55,0.2148,0.416,0.3174,0.0344,0.0474,,,
