Q2,W,A1,dA1(stat),dA1(sys),g1,dg1(stat),dg1(sys),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.07051,1.22,-0.45896,0.17808,0.11836,-0.53411,0.21042,0.11125,-0.29314,0.1157,0.07062
0.07046,1.2593,-0.39876,0.19444,0.08496,-0.37001,0.19479,0.09207,-0.26102,0.13734,0.06008
0.07057,1.2994,0.14497,0.2344,0.0513,0.14642,0.17761,0.05341,0.14532,0.17714,0.04612
0.07059,1.3396,-0.03202,0.24973,0.04464,0.02387,0.16168,0.04054,0.01859,0.19873,0.04917
0.07041,1.3795,0.01082,0.25096,0.06914,0.0464,0.15643,0.04951,0.05754,0.20782,0.06435
0.07056,1.4199,-0.67402,0.25234,0.08196,-0.39751,0.16565,0.05666,-0.5224,0.2155,0.07184
0.07057,1.4601,0.28406,0.23304,0.07217,0.26958,0.1784,0.05388,0.29125,0.20408,0.06308
0.07043,1.4997,-0.19507,0.2082,0.05119,-0.14747,0.18956,0.04351,-0.14637,0.18592,0.04559
0.07056,1.54,-0.08958,0.21941,0.03597,-0.05189,0.20065,0.03324,-0.0511,0.19906,0.0329
0.0706,1.58,-0.00335,0.2343,0.02936,0.02852,0.21565,0.02739,0.02849,0.21544,0.02747
0.07061,1.6197,-0.35772,0.24499,0.02692,-0.30783,0.22764,0.02519,-0.30796,0.22773,0.02545
0.07089,1.6609,-0.32559,0.27423,0.02636,-0.30353,0.27083,0.02588,-0.29158,0.25727,0.0244
0.07091,1.7006,-0.265,0.22567,0.03138,-0.3042,0.25981,0.03496,-0.24542,0.21346,0.02887
0.07085,1.7397,0.28581,0.18322,0.03477,0.34423,0.22088,0.04132,0.27221,0.17437,0.03239
0.07068,1.7776,0.02079,0.17534,0.02773,0.03321,0.2209,0.03452,0.02694,0.16783,0.02639
0.07131,1.8214,0.02387,0.15927,0.01537,0.043,0.21328,0.02204,0.03063,0.15315,0.01614
0.07069,1.8603,-0.09489,0.13384,0.01231,-0.13093,0.19018,0.02096,-0.08692,0.12926,0.01414
0.07057,1.9002,-0.16456,0.12801,0.01705,-0.25045,0.19221,0.02774,-0.15811,0.12408,0.01784
0.07035,1.9398,-0.09415,0.12819,0.02256,-0.14752,0.20183,0.03697,-0.09223,0.12464,0.02262
0.07051,1.9805,-0.26138,0.14179,0.02661,-0.43993,0.23231,0.04447,-0.258,0.13822,0.02628
0.07052,2.0205,0.03302,0.18571,0.02552,0.04691,0.31658,0.04358,0.02815,0.18148,0.02514
0.07026,2.0522,-0.0874,0.28127,0.01911,-0.16114,0.49514,0.03343,-0.08923,0.27539,0.01889
0.07271,2.6625,-0.24002,0.47324,0.07991,-0.67005,1.3254,0.22001,-0.23947,0.47018,0.07937
0.08427,1.1406,-0.37447,0.68474,0.5137,0.00432,0.13266,0.03536,-0.09303,0.32527,0.20871
0.08416,1.1804,-0.57318,0.25057,0.12665,-0.34679,0.17537,0.08261,-0.302,0.13861,0.05645
0.08412,1.2198,-0.59007,0.16564,0.12279,-0.66093,0.1888,0.10904,-0.36095,0.10231,0.06576
0.08414,1.2594,-0.17671,0.183,0.08992,-0.133,0.17736,0.08938,-0.10043,0.1237,0.05686
0.08413,1.2993,0.20045,0.22368,0.0513,0.19777,0.16407,0.05032,0.1814,0.16275,0.04436
0.08418,1.3394,-0.18547,0.24136,0.03381,-0.07219,0.15081,0.03824,-0.08935,0.186,0.0463
0.08443,1.38,0.09592,0.23553,0.04678,0.10267,0.14153,0.03894,0.13747,0.18962,0.05081
0.08446,1.4201,-0.53533,0.22412,0.05336,-0.29431,0.14192,0.03773,-0.38647,0.18679,0.04883
0.08471,1.4601,-0.21645,0.20888,0.04556,-0.12314,0.15434,0.03363,-0.13806,0.17902,0.03979
0.08481,1.5003,-0.45187,0.17765,0.03483,-0.36334,0.15599,0.0289,-0.36179,0.15567,0.03015
