Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.92,0.056,29.1,-0.7329,0.39,0.0807,0.3983,-0.109,0.058,0.012,0.0592,-0.095,0.058,0.012,0.0592
0.4,0.063,9.7,0.4578,0.6754,0.1315,0.6881,0.101,0.149,0.029,0.1518,-0.096,0.149,0.029,0.1518
0.6,0.063,9.7,2.7398,3.1423,0.098,3.1438,0.531,0.609,0.019,0.6093,0.532,0.609,0.02,0.6093
0.87,0.063,16.2,-0.3614,0.7623,0.0904,0.7676,-0.064,0.135,0.016,0.1359,-0.064,0.135,0.016,0.1359
1.26,0.063,16.2,-0.4049,1.5601,0.0893,1.5627,-0.068,0.262,0.015,0.2624,-0.068,0.262,0.016,0.2625
2.07,0.063,29.1,-0.7535,0.3492,0.0674,0.3556,-0.123,0.057,0.011,0.0581,-0.107,0.058,0.012,0.0592
2.69,0.063,29.1,-14.8562,31.1287,0.1025,31.1289,-2.318,4.857,0.016,4.857,-2.009,4.864,0.016,4.864
0.41,0.071,9.7,0.534,0.7079,0.1325,0.7202,0.129,0.171,0.032,0.174,0.135,0.171,0.033,0.1742
0.64,0.071,9.7,1.1371,1.265,0.09,1.2682,0.24,0.267,0.019,0.2677,-0.239,0.267,0.019,0.2677
0.92,0.071,16.2,0.134,0.7473,0.0825,0.7518,0.026,0.145,0.016,0.1459,0.026,0.145,0.017,0.146
1.36,0.071,16.2,0.1798,1.2261,0.0763,1.2285,0.033,0.225,0.014,0.2254,0.033,0.225,0.014,0.2254
2.22,0.071,29.1,-0.6301,0.3261,0.0608,0.3317,-0.114,0.059,0.011,0.06,-0.115,0.059,0.011,0.06
2.91,0.071,29.1,-1.2881,2.039,0.0866,2.0408,-0.223,0.353,0.015,0.3533,-0.267,0.353,0.015,0.3533
0.43,0.079,9.7,0.62,0.7124,0.1463,0.7273,0.161,0.185,0.038,0.1889,-0.154,0.186,0.039,0.19
0.69,0.079,9.7,0.5327,0.8541,0.0836,0.8582,0.121,0.194,0.019,0.1949,-0.12,0.194,0.019,0.1949
0.97,0.079,16.2,-1.1483,0.7545,0.0759,0.7583,-0.242,0.159,0.016,0.1598,-0.241,0.159,0.017,0.1599
1.47,0.079,16.2,-2.19,1.0648,0.0653,1.0668,-0.436,0.212,0.013,0.2124,-0.437,0.212,0.014,0.2125
2.38,0.079,29.1,-0.6136,0.3195,0.0609,0.3253,-0.121,0.063,0.012,0.0641,-0.119,0.064,0.012,0.0651
3.17,0.079,29.1,-1.5283,0.8832,0.074,0.8863,-0.289,0.167,0.014,0.1676,-0.316,0.167,0.014,0.1676
0.44,0.09,9.7,0.0279,0.6742,0.1572,0.6923,0.008,0.193,0.045,0.1982,0.0,0.193,0.046,0.1984
0.74,0.09,9.7,0.9417,0.6225,0.0758,0.6271,0.236,0.156,0.019,0.1572,-0.235,0.156,0.02,0.1573
1.01,0.09,16.2,0.2296,0.7355,0.0723,0.739,0.054,0.173,0.017,0.1738,0.054,0.173,0.018,0.1739
1.58,0.09,16.2,1.2125,0.9366,0.0588,0.9384,0.268,0.207,0.013,0.2074,0.268,0.207,0.013,0.2074
2.53,0.09,29.1,-0.0136,0.3177,0.059,0.3231,-0.003,0.07,0.013,0.0712,-0.022,0.071,0.013,0.0722
3.48,0.09,29.1,-0.2309,0.5514,0.0613,0.5548,-0.049,0.117,0.013,0.1177,-0.033,0.117,0.014,0.1178
0.45,0.101,9.7,0.811,0.6533,0.1738,0.676,0.252,0.203,0.054,0.2101,0.262,0.203,0.055,0.2103
0.78,0.101,9.7,0.2549,0.5353,0.0765,0.5407,0.07,0.147,0.021,0.1485,-0.069,0.147,0.021,0.1485
1.06,0.101,16.2,-0.4713,0.7362,0.0662,0.7392,-0.121,0.189,0.017,0.1898,-0.121,0.189,0.018,0.1899
1.69,0.101,16.2,0.0657,0.8424,0.0493,0.8438,0.016,0.205,0.012,0.2054,0.016,0.205,0.012,0.2054
2.69,0.101,29.1,-0.6097,0.3213,0.0536,0.3257,-0.148,0.078,0.013,0.0791,-0.129,0.079,0.014,0.0802
3.79,0.101,29.1,-0.3186,0.4206,0.0552,0.4242,-0.075,0.099,0.013,0.0998,-0.106,0.099,0.013,0.0998
0.47,0.113,9.7,0.7084,0.6426,0.1913,0.6705,0.237,0.215,0.064,0.2243,-0.226,0.215,0.064,0.2243
0.82,0.113,9.7,0.2526,0.4885,0.0764,0.4944,0.076,0.147,0.023,0.1488,-0.075,0.147,0.023,0.1488
1.1,0.113,16.2,-0.2493,0.7305,0.0632,0.7332,-0.071,0.208,0.018,0.2088,-0.071,0.208,0.019,0.2089
1.8,0.113,16.2,-0.4696,0.7305,0.0447,0.7319,-0.126,0.196,0.012,0.1964,-0.126,0.196,0.012,0.1964
2.84,0.113,29.1,-0.3367,0.3255,0.0561,0.3303,-0.09,0.087,0.015,0.0883,-0.103,0.088,0.016,0.0894
4.11,0.113,29.1,-0.7768,0.3597,0.0497,0.3631,-0.203,0.094,0.013,0.0949,-0.187,0.094,0.013,0.0949
0.48,0.128,9.7,0.5724,0.6381,0.1972,0.6679,0.209,0.233,0.072,0.2439,-0.196,0.233,0.072,0.2439
0.86,0.128,9.7,0.5707,0.4542,0.0777,0.4608,0.191,0.152,0.026,0.1542,0.193,0.152,0.026,0.1542
1.14,0.128,16.2,0.9142,0.7082,0.0624,0.7109,0.293,0.227,0.02,0.2279,0.294,0.227,0.021,0.228
1.91,0.128,16.2,-0.6553,0.6454,0.0432,0.6468,-0.197,0.194,0.013,0.1944,-0.197,0.194,0.014,0.1945
3.0,0.128,29.1,0.5722,0.3212,0.0569,0.3262,0.171,0.096,0.017,0.0975,0.176,0.098,0.018,0.0996
4.44,0.128,29.1,-0.3591,0.315,0.044,0.3181,-0.106,0.093,0.013,0.0939,-0.106,0.093,0.014,0.094
0.9,0.144,9.7,0.2345,0.4258,0.0782,0.4329,0.087,0.158,0.029,0.1606,-0.085,0.158,0.029,0.1606
1.18,0.144,16.2,0.6115,0.7073,0.062,0.71,0.217,0.251,0.022,0.252,0.218,0.251,0.023,0.2521
2.03,0.144,16.2,-0.339,0.5888,0.0446,0.5905,-0.114,0.198,0.015,0.1986,-0.114,0.198,0.016,0.1986
3.15,0.144,29.1,0.1709,0.3177,0.054,0.3223,0.057,0.106,0.018,0.1075,0.064,0.109,0.02,0.1108
4.78,0.144,29.1,0.2918,0.2798,0.0391,0.2825,0.097,0.093,0.013,0.0939,0.118,0.094,0.014,0.095
0.93,0.162,9.7,0.0581,0.4017,0.0774,0.4091,0.024,0.166,0.032,0.1691,0.027,0.166,0.033,0.1692
