Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.101,0.2238,1.11,,,,,,,,,0.2934,0.8072,0.5743,0.9907
0.101,0.2036,1.13,,,,,,,,,0.1228,0.4061,0.3653,0.5462
0.101,0.1864,1.15,,,,,,,,,-0.1082,0.2361,0.2353,0.3333
0.101,0.1717,1.17,,,,,,,,,-0.0984,0.161,0.1451,0.2167
0.101,0.159,1.19,,,,,,,,,-0.4573,0.1114,0.1077,0.1549
0.101,0.1478,1.21,,,,,,,,,-0.2414,0.0902,0.0832,0.1227
0.101,0.1379,1.23,,,,,,,,,-0.3803,0.0813,0.0826,0.1159
0.101,0.1292,1.25,,,,,,,,,-0.2691,0.0846,0.0851,0.12
0.101,0.1214,1.27,,,,,,,,,-0.2713,0.0928,0.0943,0.1323
0.101,0.1143,1.29,,,,,,,,,-0.0921,0.0979,0.098,0.1385
0.101,0.108,1.31,,,,,,,,,-0.0091,0.1106,0.0997,0.1489
0.101,0.1022,1.33,,,,,,,,,0.1359,0.112,0.0958,0.1474
0.101,0.097,1.35,,,,,,,,,-0.0239,0.1155,0.0887,0.1456
0.101,0.0921,1.37,,,,,,,,,-0.2712,0.1107,0.0797,0.1364
0.101,0.0877,1.39,,,,,,,,,0.0973,0.1098,0.0683,0.1293
0.101,0.0837,1.41,,,,,,,,,0.0803,0.1031,0.0588,0.1187
0.101,0.0799,1.43,,,,,,,,,-0.0116,0.094,0.0505,0.1067
0.101,0.0764,1.45,,,,,,,,,0.1392,0.0848,0.0448,0.0959
0.101,0.0732,1.47,,,,,,,,,-0.0341,0.0786,0.038,0.0873
0.101,0.0702,1.49,,,,,,,,,0.2157,0.0716,0.0351,0.0797
0.101,0.0674,1.51,,,,,,,,,0.1277,0.0663,0.0309,0.0731
0.101,0.0647,1.53,,,,,,,,,-0.0723,0.067,0.0281,0.0727
0.101,0.0623,1.55,,,,,,,,,0.0497,0.0711,0.0267,0.0759
0.101,0.06,1.57,,,,,,,,,0.1439,0.0744,0.0272,0.0792
0.101,0.0578,1.59,,,,,,,,,-0.0454,0.0776,0.0223,0.0807
0.101,0.0558,1.61,,,,,,,,,0.049,0.0802,0.0212,0.083
0.101,0.0538,1.63,,,,,,,,,0.1146,0.073,0.0207,0.0759
0.12,0.2551,1.11,,,,,,,,,-0.099,0.7716,0.5934,0.9734
0.12,0.2329,1.13,,,,,,,,,0.7889,0.4061,0.3593,0.5422
0.12,0.214,1.15,,,,,,,,,-0.1576,0.2379,0.2345,0.334
0.12,0.1976,1.17,,,,,,,,,-0.3647,0.1634,0.1444,0.2181
0.12,0.1834,1.19,,,,,,,,,-0.3677,0.1142,0.1062,0.1559
