Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.37,0.292,16.2,,,,,0.385,0.192,0.015,0.1926,0.398,0.192,0.015,0.1926
2.67,0.292,16.2,,,,,0.359,0.126,0.013,0.1267,0.369,0.126,0.013,0.1267
3.98,0.292,29.1,,,,,0.205,0.082,0.013,0.083,0.225,0.093,0.014,0.094
6.97,0.292,29.1,,,,,0.202,0.053,0.012,0.0543,0.216,0.055,0.012,0.0563
2.76,0.329,16.2,,,,,0.533,0.142,0.017,0.143,0.548,0.142,0.018,0.1431
4.09,0.329,29.1,,,,,0.317,0.097,0.014,0.098,0.352,0.114,0.015,0.115
7.33,0.329,29.1,,,,,0.227,0.06,0.013,0.0614,0.247,0.063,0.014,0.0645
2.85,0.37,16.2,,,,,0.135,0.161,0.014,0.1616,0.157,0.161,0.015,0.1617
4.2,0.37,29.1,,,,,0.319,0.118,0.016,0.1191,0.362,0.143,0.017,0.144
7.69,0.37,29.1,,,,,0.325,0.07,0.015,0.0716,0.343,0.075,0.016,0.0767
2.93,0.416,16.2,,,,,0.204,0.186,0.014,0.1865,0.235,0.186,0.015,0.1866
4.3,0.416,29.1,,,,,0.295,0.145,0.017,0.146,0.390,0.184,0.018,0.1849
8.03,0.416,29.1,,,,,0.216,0.083,0.017,0.0847,0.232,0.091,0.018,0.0928
3.01,0.468,16.2,,,,,0.669,0.216,0.013,0.2164,0.710,0.216,0.015,0.2165
4.4,0.468,29.1,,,,,0.037,0.185,0.017,0.1858,0.190,0.246,0.019,0.2467
8.37,0.468,29.1,,,,,0.328,0.102,0.019,0.1038,0.335,0.113,0.02,0.1148
4.47,0.526,29.1,,,,,0.375,0.237,0.015,0.2375,0.182,0.335,0.018,0.3355
8.67,0.526,29.1,,,,,0.478,0.129,0.02,0.1305,0.508,0.147,0.022,0.1486
4.55,0.592,29.1,,,,,0.310,0.31,0.012,0.3102,0.672,0.464,0.016,0.4643
8.98,0.592,29.1,,,,,0.325,0.168,0.021,0.1693,0.065,0.198,0.024,0.1994
9.26,0.666,29.1,,,,,0.251,0.226,0.019,0.2268,0.423,0.284,0.024,0.285
9.52,0.749,29.1,,,,,0.646,0.331,0.033,0.3326,0.769,0.443,0.039,0.4447
1.27,0.031,,0.150,0.147,0.03,0.15,,,,,,,,
1.4,0.035,,0.027,0.097,0.025,0.1002,,,,,,,,
1.52,0.039,,0.191,0.08,0.021,0.0827,,,,,,,,
1.65,0.044,,−0.036,0.068,0.017,0.0701,,,,,,,,
1.78,0.049,,−0.034,0.059,0.013,0.0604,,,,,,,,
1.91,0.056,,0.039,0.052,0.01,0.053,,,,,,,,
2.04,0.063,,0.027,0.045,0.008,0.0457,,,,,,,,
2.19,0.071,,0.053,0.041,0.006,0.0414,,,,,,,,
2.41,0.079,,0.039,0.037,0.005,0.0373,,,,,,,,
2.55,0.09,,0.123,0.031,0.005,0.0314,,,,,,,,
2.85,0.101,,0.082,0.029,0.004,0.0293,,,,,,,,
3.13,0.113,,0.067,0.026,0.003,0.0262,,,,,,,,
3.41,0.128,,0.135,0.024,0.004,0.0243,,,,,,,,
3.71,0.144,,0.138,0.022,0.004,0.0224,,,,,,,,
4.03,0.162,,0.075,0.021,0.003,0.0212,,,,,,,,
4.34,0.182,,0.147,0.02,0.005,0.0206,,,,,,,,
4.15,0.205,,0.070,0.017,0.005,0.0177,,,,,,,,
4.37,0.23,,0.072,0.016,0.005,0.0168,,,,,,,,
