Q2,x,W,g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
4.098,,1.326,0.467,0.045,0.027,0.0525
4.096,,1.375,0.587,0.038,0.028,0.0472
4.088,,1.425,0.62,0.031,0.028,0.0418
4.1,,1.476,0.645,0.026,0.028,0.0382
4.12,,1.524,0.615,0.021,0.028,0.035
4.105,,1.575,0.624,0.022,0.027,0.0348
4.119,,1.625,0.595,0.02,0.026,0.0328
4.118,,1.675,0.571,0.017,0.026,0.0311
4.079,,1.725,0.596,0.015,0.025,0.0292
4.101,,1.775,0.601,0.016,0.025,0.0297
4.099,,1.826,0.566,0.015,0.024,0.0283
4.102,,1.876,0.516,0.015,0.023,0.0275
4.103,,1.925,0.524,0.014,0.023,0.0269
4.094,,1.975,0.531,0.014,0.022,0.0261
4.116,,2.025,0.522,0.013,0.022,0.0256
4.105,,2.075,0.519,0.013,0.021,0.0247
4.099,,2.125,0.531,0.012,0.021,0.0242
4.077,,2.175,0.527,0.013,0.02,0.0239
4.051,,2.224,0.549,0.013,0.02,0.0239
4.036,,2.273,0.505,0.014,0.02,0.0244
3.995,,2.322,0.492,0.016,0.02,0.0256
3.959,,2.371,0.49,0.02,0.02,0.0283
3.868,,2.416,0.445,0.03,0.02,0.0361
4.898,,1.227,-0.452,0.086,0.021,0.0885
4.87,,1.274,0.456,0.065,0.024,0.0693
4.856,,1.325,0.493,0.054,0.025,0.0595
4.875,,1.376,0.57,0.045,0.026,0.052
4.875,,1.427,0.694,0.04,0.027,0.0483
4.883,,1.477,0.653,0.031,0.026,0.0405
4.892,,1.526,0.644,0.027,0.026,0.0375
4.906,,1.576,0.627,0.028,0.025,0.0375
4.898,,1.626,0.651,0.025,0.025,0.0354
4.913,,1.676,0.629,0.021,0.024,0.0319
4.877,,1.725,0.635,0.02,0.023,0.0305
4.855,,1.776,0.6,0.02,0.023,0.0305
4.86,,1.826,0.576,0.02,0.022,0.0297
4.844,,1.875,0.574,0.02,0.022,0.0297
4.811,,1.924,0.533,0.02,0.022,0.0297
4.758,,1.973,0.514,0.021,0.021,0.0297
4.734,,2.024,0.541,0.023,0.021,0.0311
4.699,,2.074,0.522,0.027,0.021,0.0342
4.664,,2.124,0.59,0.032,0.021,0.0383
4.598,,2.174,0.616,0.04,0.02,0.0447
4.556,,2.214,0.473,0.08,0.02,0.0825
5.778,,1.277,0.586,0.099,0.022,0.1014
5.775,,1.326,0.61,0.086,0.023,0.089
5.752,,1.374,0.515,0.07,0.024,0.074
5.724,,1.425,0.732,0.06,0.025,0.065
5.695,,1.476,0.678,0.053,0.025,0.0586
5.685,,1.524,0.68,0.047,0.025,0.0532
5.631,,1.576,0.674,0.051,0.024,0.0564
5.613,,1.625,0.622,0.054,0.023,0.0587
5.597,,1.674,0.581,0.056,0.023,0.0605
5.568,,1.723,0.654,0.056,0.023,0.0605
5.503,,1.771,0.746,0.069,0.023,0.0727
5.482,,1.818,0.593,0.086,0.022,0.0888
1.078,0.154,,0.222,0.021,0.02,0.029
1.229,0.167,,0.24,0.003,0.018,0.0182
1.422,0.177,,0.249,0.003,0.016,0.0163
1.633,0.191,,0.257,0.005,0.016,0.0168
1.282,0.207,,0.278,0.018,0.023,0.0292
1.455,0.22,,0.295,0.004,0.021,0.0214
1.715,0.223,,0.3,0.003,0.018,0.0182
1.98,0.235,,0.314,0.004,0.017,0.0175
1.505,0.267,,0.364,0.009,0.025,0.0266
1.724,0.272,,0.346,0.004,0.023,0.0233
2.047,0.273,,0.347,0.003,0.019,0.0192
2.366,0.282,,0.365,0.004,0.018,0.0184
1.545,0.307,,0.442,0.038,0.026,0.046
1.738,0.322,,0.399,0.006,0.026,0.0267
2.052,0.323,,0.397,0.004,0.023,0.0233
2.431,0.324,,0.392,0.003,0.02,0.0202
2.796,0.331,,0.415,0.005,0.019,0.0196
1.769,0.371,,0.405,0.01,0.027,0.0288
2.059,0.373,,0.442,0.005,0.026,0.0265
2.438,0.373,,0.44,0.004,0.023,0.0233
2.896,0.374,,0.434,0.004,0.02,0.0204
3.288,0.384,,0.46,0.008,0.019,0.0206
1.812,0.42,,0.461,0.017,0.028,0.0328
2.064,0.423,,0.421,0.008,0.026,0.0272
2.438,0.423,,0.465,0.005,0.025,0.0255
2.898,0.424,,0.48,0.005,0.022,0.0226
3.424,0.426,,0.477,0.005,0.019,0.0196
3.868,0.442,,0.47,0.024,0.02,0.0312
1.839,0.468,,0.535,0.032,0.029,0.0432
2.052,0.474,,0.496,0.01,0.028,0.0297
2.449,0.473,,0.447,0.007,0.026,0.0269
2.9,0.474,,0.49,0.006,0.025,0.0257
3.455,0.474,,0.514,0.005,0.021,0.0216
3.968,0.478,,0.508,0.008,0.02,0.0215
1.858,0.502,,0.516,0.097,0.03,0.1015
2.071,0.523,,0.54,0.012,0.029,0.0314
2.453,0.523,,0.529,0.008,0.028,0.0291
2.897,0.524,,0.481,0.007,0.026,0.0269
3.454,0.524,,0.508,0.006,0.024,0.0247
4.082,0.525,,0.528,0.007,0.021,0.0221
4.572,0.539,,0.597,0.042,0.02,0.0465
2.088,0.572,,0.537,0.016,0.03,0.034
2.459,0.574,,0.545,0.01,0.029,0.0307
2.911,0.574,,0.556,0.008,0.027,0.0282
3.457,0.573,,0.512,0.008,0.025,0.0262
4.117,0.574,,0.533,0.008,0.022,0.0234
4.666,0.578,,0.588,0.017,0.021,0.027
