Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
1.6,0.082,,,,,,,,,,,,,,,,,,-0.11,,,0.05,,,,,,,,,,,,,SLAC_E142
1.9,0.082,,,,,,,,,,,,,,,,,,-0.18,,,0.07,,,,,,,,,,,,,SLAC_E142
2.0,0.082,,,,,,,,,,,,,,,,,,0.01,,,0.1,,,,,,,,,,,,,SLAC_E142
2.5,0.082,,,,,,,,,,,,,,,,,,-0.08,,,0.1,,,,,,,,,,,,,SLAC_E142
2.9,0.082,,,,,,,,,,,,,,,,,,-0.07,,,0.13,,,,,,,,,,,,,SLAC_E142
1.5,0.124,,,,,,,,,,,,,,,,,,-0.24,,,0.1,,,,,,,,,,,,,SLAC_E142
2.0,0.124,,,,,,,,,,,,,,,,,,-0.04,,,0.07,,,,,,,,,,,,,SLAC_E142
2.4,0.124,,,,,,,,,,,,,,,,,,-0.12,,,0.1,,,,,,,,,,,,,SLAC_E142
2.5,0.124,,,,,,,,,,,,,,,,,,-0.16,,,0.09,,,,,,,,,,,,,SLAC_E142
3.1,0.124,,,,,,,,,,,,,,,,,,-0.24,,,0.07,,,,,,,,,,,,,SLAC_E142
3.6,0.124,,,,,,,,,,,,,,,,,,-0.2,,,0.09,,,,,,,,,,,,,SLAC_E142
1.7,0.175,,,,,,,,,,,,,,,,,,0.01,,,0.15,,,,,,,,,,,,,SLAC_E142
2.2,0.175,,,,,,,,,,,,,,,,,,-0.05,,,0.09,,,,,,,,,,,,,SLAC_E142
2.7,0.175,,,,,,,,,,,,,,,,,,-0.14,,,0.15,,,,,,,,,,,,,SLAC_E142
2.9,0.175,,,,,,,,,,,,,,,,,,-0.22,,,0.1,,,,,,,,,,,,,SLAC_E142
3.7,0.175,,,,,,,,,,,,,,,,,,-0.23,,,0.07,,,,,,,,,,,,,SLAC_E142
4.4,0.175,,,,,,,,,,,,,,,,,,-0.24,,,0.1,,,,,,,,,,,,,SLAC_E142
1.8,0.246,,,,,,,,,,,,,,,,,,0.05,,,0.17,,,,,,,,,,,,,SLAC_E142
2.4,0.246,,,,,,,,,,,,,,,,,,-0.05,,,0.1,,,,,,,,,,,,,SLAC_E142
3.0,0.246,,,,,,,,,,,,,,,,,,-0.34,,,0.17,,,,,,,,,,,,,SLAC_E142
3.4,0.246,,,,,,,,,,,,,,,,,,-0.13,,,0.12,,,,,,,,,,,,,SLAC_E142
4.3,0.246,,,,,,,,,,,,,,,,,,-0.16,,,0.07,,,,,,,,,,,,,SLAC_E142
5.2,0.246,,,,,,,,,,,,,,,,,,-0.02,,,0.11,,,,,,,,,,,,,SLAC_E142
2.0,0.343,,,,,,,,,,,,,,,,,,0.3,,,0.34,,,,,,,,,,,,,SLAC_E142
2.6,0.343,,,,,,,,,,,,,,,,,,0.0,,,0.18,,,,,,,,,,,,,SLAC_E142
3.3,0.343,,,,,,,,,,,,,,,,,,-0.25,,,0.38,,,,,,,,,,,,,SLAC_E142
3.8,0.343,,,,,,,,,,,,,,,,,,-0.12,,,0.24,,,,,,,,,,,,,SLAC_E142
5.0,0.343,,,,,,,,,,,,,,,,,,-0.05,,,0.13,,,,,,,,,,,,,SLAC_E142
6.1,0.343,,,,,,,,,,,,,,,,,,0.47,,,0.2,,,,,,,,,,,,,SLAC_E142
0.57,0.16,,,,,-0.0716,0.0056,0.0084,,0.0101,0.0732,0.0083,0.0127,0.0152,,,,,,,,,,,,,,,,,,,,,Kramer
0.78,0.18,,,,,-0.0613,0.0079,0.0091,,0.0121,0.0791,0.0118,0.0132,0.0177,,,,,,,,,,,,,,,,,,,,,Kramer
0.94,0.19,,,,,-0.0552,0.0052,0.0078,,0.0094,0.0767,0.0088,0.0092,0.0127,,,,,,,,,,,,,,,,,,,,,Kramer
1.13,0.19,,,,,-0.0508,0.0051,0.0082,,0.0097,0.0488,0.0089,0.0078,0.0118,,,,,,,,,,,,,,,,,,,,,Kramer
1.34,0.2,,,,,-0.0443,0.0053,0.0078,,0.0094,0.0444,0.0086,0.0078,0.0116,,,,,,,,,,,,,,,,,,,,,Kramer
1.22,0.033,,,27.5,,-0.367,0.157,0.052,,0.1654,,,,,,,,,-0.111,0.048,0.018,0.0513,,,,,,,,,,,,,HERMES
1.47,0.047,,,27.5,,-0.263,0.124,0.028,,0.1271,,,,,,,,,-0.117,0.052,0.013,0.0536,,,,,,,,,,,,,HERMES
1.73,0.065,,,27.5,,-0.135,0.1,0.016,,0.1013,,,,,,,,,-0.077,0.055,0.011,0.0561,,,,,,,,,,,,,HERMES
1.99,0.087,,,27.5,,-0.172,0.088,0.015,,0.0893,,,,,,,,,-0.126,0.064,0.014,0.0655,,,,,,,,,,,,,HERMES
2.3,0.119,,,27.5,,-0.096,0.069,0.012,,0.07,,,,,,,,,-0.097,0.068,0.015,0.0696,,,,,,,,,,,,,HERMES
2.65,0.168,,,27.5,,-0.104,0.057,0.01,,0.0579,,,,,,,,,-0.158,0.085,0.02,0.0873,,,,,,,,,,,,,HERMES
3.07,0.244,,,27.5,,-0.031,0.046,0.005,,0.0463,,,,,,,,,-0.078,0.113,0.019,0.1146,,,,,,,,,,,,,HERMES
3.86,0.342,,,27.5,,0.031,0.046,0.005,,0.0463,,,,,,,,,0.146,0.219,0.052,0.2251,,,,,,,,,,,,,HERMES
5.25,0.464,,,27.5,,-0.013,0.033,0.003,,0.0331,,,,,,,,,-0.149,0.374,0.103,0.3879,,,,,,,,,,,,,HERMES
0.26,0.0058,,,,,-0.0288,0.436,0.0269,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.41,0.0096,,,,,-0.1841,0.2302,0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.57,0.0142,,,,,-0.2572,0.1747,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.73,0.019,,,,,-0.2757,0.172,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.82,0.0248,,,,,-0.2154,0.1298,0.0162,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.12,0.0264,,,,,-0.227,0.2108,0.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.87,0.0325,,,,,-0.3594,0.24,0.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.25,0.0329,,,,,-0.4335,0.1371,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.9,0.0399,,,,,-0.2867,0.3256,0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.38,0.0403,,,,,-0.2425,0.1029,0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.93,0.0498,,,,,-0.2324,0.3841,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.54,0.0506,,,,,-0.1536,0.0732,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.25,0.0643,,,,,-0.1236,0.1531,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.85,0.0645,,,,,-0.0759,0.087,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.58,0.0655,,,,,-0.1421,0.1014,0.0121,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.31,0.0823,,,,,-0.2034,0.1623,0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.06,0.0824,,,,,-0.0809,0.0769,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
3.08,0.0835,,,,,-0.1121,0.0733,0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.38,0.1051,,,,,-0.2273,0.1804,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.29,0.1054,,,,,-0.1089,0.0703,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
3.65,0.1064,,,,,-0.1333,0.0578,0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.46,0.1344,,,,,0.0484,0.2049,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.56,0.1347,,,,,-0.0555,0.0647,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
4.3,0.1358,,,,,-0.1213,0.0475,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.56,0.1719,,,,,-0.1105,0.2376,0.0158,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.87,0.1722,,,,,-0.0203,0.0602,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
5.05,0.1734,,,,,-0.0732,0.04,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.67,0.2191,,,,,-0.1138,0.2663,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
3.18,0.22,,,,,-0.0682,0.0561,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
5.87,0.2213,,,,,0.0014,0.0336,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.98,0.2786,,,,,0.0376,0.2296,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
