Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
1.0022,0.0080220732947856,2.6599,,,,0.05818,0.10683,0.0508,,,,,,,0.06985,0.12813,0.06136,,0.07882,0.13686,0.06498,,,,,,,,,,,,,,CLAS_EG1b
1.0023,0.0080220732947856,2.6999,,,,-0.03075,0.10798,0.04035,,,,,,,-0.03634,0.12786,0.04787,,-0.03448,0.13608,0.05025,,,,,,,,,,,,,,CLAS_EG1b
1.0024,0.0080220732947856,2.7399,,,,-0.0449,0.1087,0.03843,,,,,,,-0.05242,0.12714,0.04434,,-0.05143,0.13485,0.04627,,,,,,,,,,,,,,CLAS_EG1b
1.0049,0.0080220732947856,2.7801,,,,-0.40815,0.10853,0.04517,,,,,,,-0.47118,0.12533,0.0513,,-0.49408,0.13252,0.05362,,,,,,,,,,,,,,CLAS_EG1b
1.0075,0.0080220732947856,2.8204,,,,0.0398,0.10567,0.04879,,,,,,,0.04508,0.12029,0.05521,,0.05153,0.12682,0.05771,,,,,,,,,,,,,,CLAS_EG1b
1.0041,0.0080220732947856,2.8594,,,,0.03184,0.10572,0.05344,,,,,,,0.03533,0.11844,0.05954,,0.04105,0.12452,0.06213,,,,,,,,,,,,,,CLAS_EG1b
0.95531,0.0080220732947856,2.8863,,,,-0.44762,0.27317,0.05312,,,,,,,-0.49537,0.30211,0.05839,,-0.51524,0.3165,0.06092,,,,,,,,,,,,,,CLAS_EG1b
1.193,0.0080220732947856,1.1403,,,,-0.00827,0.01519,0.0066,,,,,,,-0.19727,0.25202,0.13104,,-0.46391,0.65103,0.36113,,,,,,,,,,,,,,CLAS_EG1b
1.1931,0.0080220732947856,1.1804,,,,-0.0514,0.01678,0.01556,,,,,,,-0.30858,0.09549,0.0777,,-0.67157,0.23177,0.15209,,,,,,,,,,,,,,CLAS_EG1b
1.1932,0.0080220732947856,1.2203,,,,-0.06743,0.01786,0.02147,,,,,,,-0.25902,0.0694,0.0919,,-0.53641,0.1593,0.18248,,,,,,,,,,,,,,CLAS_EG1b
1.1936,0.0080220732947856,1.2601,,,,-0.02324,0.01813,0.0189,,,,,,,-0.12036,0.08684,0.08499,,-0.23366,0.18838,0.16576,,,,,,,,,,,,,,CLAS_EG1b
1.194,0.0080220732947856,1.3001,,,,0.0065,0.01841,0.01107,,,,,,,0.04349,0.11363,0.05921,,0.04946,0.23294,0.10518,,,,,,,,,,,,,,CLAS_EG1b
1.1942,0.0080220732947856,1.3401,,,,-0.00932,0.01894,0.00593,,,,,,,-0.06333,0.12743,0.03855,,-0.24185,0.24798,0.07833,,,,,,,,,,,,,,CLAS_EG1b
1.1943,0.0080220732947856,1.3801,,,,-0.0225,0.02017,0.0056,,,,,,,-0.15119,0.13422,0.03654,,-0.46031,0.24897,0.11055,,,,,,,,,,,,,,CLAS_EG1b
1.1934,0.0080220732947856,1.4201,,,,0.03399,0.0217,0.00647,,,,,,,0.21328,0.13476,0.03914,,0.17913,0.23911,0.13893,,,,,,,,,,,,,,CLAS_EG1b
1.1931,0.0080220732947856,1.4602,,,,-0.01919,0.02384,0.00916,,,,,,,-0.10368,0.1262,0.04585,,-0.36729,0.21476,0.15204,,,,,,,,,,,,,,CLAS_EG1b
1.193,0.0080220732947856,1.5001,,,,0.04532,0.02573,0.01273,,,,,,,0.20224,0.11526,0.05881,,0.19826,0.18905,0.15893,,,,,,,,,,,,,,CLAS_EG1b
1.1937,0.0080220732947856,1.5401,,,,0.03954,0.02744,0.01399,,,,,,,0.18038,0.12482,0.0641,,0.16683,0.1977,0.1618,,,,,,,,,,,,,,CLAS_EG1b
1.1944,0.0080220732947856,1.5801,,,,-0.02471,0.02867,0.01383,,,,,,,-0.11362,0.13177,0.06228,,-0.30414,0.20197,0.15939,,,,,,,,,,,,,,CLAS_EG1b
1.195,0.0080220732947856,1.6201,,,,-0.01935,0.03006,0.01856,,,,,,,-0.07871,0.13227,0.07644,,-0.22953,0.19668,0.16236,,,,,,,,,,,,,,CLAS_EG1b
1.1955,0.0080220732947856,1.6601,,,,0.08048,0.03213,0.03199,,,,,,,0.30302,0.12151,0.11296,,0.36862,0.17565,0.18719,,,,,,,,,,,,,,CLAS_EG1b
1.1948,0.0080220732947856,1.7,,,,0.0308,0.04096,0.04464,,,,,,,0.10113,0.13055,0.14865,,0.07773,0.18409,0.22142,,,,,,,,,,,,,,CLAS_EG1b
1.1942,0.0080220732947856,1.74,,,,0.04076,0.04432,0.04508,,,,,,,0.1337,0.14961,0.15086,,0.13868,0.20608,0.21597,,,,,,,,,,,,,,CLAS_EG1b
1.1959,0.0080220732947856,1.7798,,,,-0.06612,0.04493,0.03422,,,,,,,-0.23371,0.1586,0.1173,,-0.34069,0.21368,0.16225,,,,,,,,,,,,,,CLAS_EG1b
1.2,0.0080220732947856,1.8201,,,,-0.00496,0.04972,0.02659,,,,,,,-0.01655,0.17249,0.09081,,-0.03599,0.22771,0.11987,,,,,,,,,,,,,,CLAS_EG1b
1.2007,0.0080220732947856,1.8601,,,,-0.04353,0.04937,0.02642,,,,,,,-0.14753,0.16405,0.0865,,-0.21239,0.21256,0.11239,,,,,,,,,,,,,,CLAS_EG1b
1.2005,0.0080220732947856,1.9001,,,,-0.06742,0.0493,0.02586,,,,,,,-0.21367,0.15483,0.07973,,-0.29292,0.19718,0.10227,,,,,,,,,,,,,,CLAS_EG1b
1.1997,0.0080220732947856,1.9401,,,,-0.08731,0.04951,0.02697,,,,,,,-0.25606,0.14572,0.07768,,-0.32797,0.18263,0.09716,,,,,,,,,,,,,,CLAS_EG1b
1.1984,0.0080220732947856,1.9801,,,,0.02732,0.04997,0.029,,,,,,,0.07447,0.13731,0.07927,,0.09039,0.16954,0.09738,,,,,,,,,,,,,,CLAS_EG1b
1.1967,0.0080220732947856,2.02,,,,-0.06041,0.05026,0.02864,,,,,,,-0.15344,0.12903,0.07347,,-0.18706,0.15714,0.08919,,,,,,,,,,,,,,CLAS_EG1b
1.1956,0.0080220732947856,2.06,,,,-0.06302,0.05046,0.02613,,,,,,,-0.15481,0.12145,0.06221,,-0.1867,0.14605,0.0745,,,,,,,,,,,,,,CLAS_EG1b
1.1952,0.0080220732947856,2.1,,,,-0.07199,0.05121,0.02189,,,,,,,-0.16481,0.11607,0.04854,,-0.19544,0.13795,0.05732,,,,,,,,,,,,,,CLAS_EG1b
1.1956,0.0080220732947856,2.14,,,,-0.12385,0.05239,0.01884,,,,,,,-0.26446,0.11229,0.03807,,-0.30933,0.13202,0.04397,,,,,,,,,,,,,,CLAS_EG1b
1.1963,0.0080220732947856,2.18,,,,-0.08432,0.05356,0.02055,,,,,,,-0.17114,0.10895,0.04006,,-0.1973,0.12682,0.04563,,,,,,,,,,,,,,CLAS_EG1b
1.1984,0.0080220732947856,2.2201,,,,0.01254,0.05433,0.02199,,,,,,,0.02609,0.10526,0.04201,,0.03268,0.12139,0.04749,,,,,,,,,,,,,,CLAS_EG1b
1.1994,0.0080220732947856,2.2601,,,,-0.1076,0.05471,0.02002,,,,,,,-0.20026,0.10128,0.03617,,-0.22666,0.1158,0.04024,,,,,,,,,,,,,,CLAS_EG1b
1.1996,0.0080220732947856,2.3001,,,,-0.08345,0.05511,0.02009,,,,,,,-0.14771,0.09774,0.03414,,-0.16466,0.11086,0.03735,,,,,,,,,,,,,,CLAS_EG1b
1.199,0.0080220732947856,2.3401,,,,-0.02658,0.05578,0.02226,,,,,,,-0.04562,0.09499,0.03709,,-0.04839,0.10694,0.04053,,,,,,,,,,,,,,CLAS_EG1b
1.1974,0.0080220732947856,2.38,,,,-0.09061,0.05672,0.0237,,,,,,,-0.14996,0.09299,0.03809,,-0.1647,0.10395,0.04139,,,,,,,,,,,,,,CLAS_EG1b
1.1911,0.0080220732947856,2.4196,,,,-0.00765,0.06026,0.03018,,,,,,,-0.01212,0.09533,0.04706,,-0.01008,0.10585,0.05121,,,,,,,,,,,,,,CLAS_EG1b
1.1819,0.0080220732947856,2.4581,,,,0.0171,0.07355,0.03357,,,,,,,0.02598,0.11262,0.05129,,0.03211,0.12427,0.05575,,,,,,,,,,,,,,CLAS_EG1b
1.1942,0.0080220732947856,2.4999,,,,-0.15018,0.09148,0.03179,,,,,,,-0.22184,0.13568,0.0466,,-0.2397,0.14893,0.05015,,,,,,,,,,,,,,CLAS_EG1b
1.1939,0.0080220732947856,2.5399,,,,-0.01703,0.09303,0.03666,,,,,,,-0.02459,0.13447,0.05236,,-0.02317,0.14683,0.05619,,,,,,,,,,,,,,CLAS_EG1b
1.1952,0.0080220732947856,2.5799,,,,-0.00121,0.0944,0.03907,,,,,,,-0.00041,0.13353,0.05525,,0.00364,0.14509,0.05929,,,,,,,,,,,,,,CLAS_EG1b
1.1975,0.0080220732947856,2.62,,,,-0.16464,0.09559,0.03585,,,,,,,-0.22785,0.13278,0.04919,,-0.24242,0.14363,0.05242,,,,,,,,,,,,,,CLAS_EG1b
1.1989,0.0080220732947856,2.6601,,,,-0.15176,0.09454,0.045,,,,,,,-0.20679,0.12932,0.06079,,-0.21865,0.1393,0.06477,,,,,,,,,,,,,,CLAS_EG1b
1.2024,0.0080220732947856,2.7003,,,,0.07525,0.09264,0.0517,,,,,,,0.10244,0.12502,0.06977,,0.11411,0.13415,0.07437,,,,,,,,,,,,,,CLAS_EG1b
1.2034,0.0080220732947856,2.7403,,,,-0.10426,0.08929,0.04583,,,,,,,-0.13933,0.11899,0.06113,,-0.14516,0.12721,0.06482,,,,,,,,,,,,,,CLAS_EG1b
1.2005,0.0080220732947856,2.7803,,,,-0.00398,0.08732,0.03867,,,,,,,-0.00469,0.11488,0.05068,,-0.00092,0.12238,0.05336,,,,,,,,,,,,,,CLAS_EG1b
1.1956,0.0080220732947856,2.8197,,,,-0.22357,0.08846,0.03508,,,,,,,-0.2903,0.11477,0.04522,,-0.30435,0.12184,0.04735,,,,,,,,,,,,,,CLAS_EG1b
1.1476,0.0080220732947856,2.8495,,,,-0.04946,0.17018,0.03279,,,,,,,-0.06288,0.21816,0.04183,,-0.06249,0.2307,0.04374,,,,,,,,,,,,,,CLAS_EG1b
1.4228,0.0080220732947856,1.1403,,,,-0.01905,0.01286,0.00505,,,,,,,-0.31779,0.29821,0.16869,,-0.69235,0.73068,0.43402,,,,,,,,,,,,,,CLAS_EG1b
1.4223,0.0080220732947856,1.1803,,,,-0.03719,0.01407,0.01243,,,,,,,-0.27905,0.11421,0.08808,,-0.56216,0.26547,0.16982,,,,,,,,,,,,,,CLAS_EG1b
1.4215,0.0080220732947856,1.2202,,,,-0.04628,0.01509,0.01755,,,,,,,-0.25861,0.08368,0.10652,,-0.50497,0.18542,0.20994,,,,,,,,,,,,,,CLAS_EG1b
1.4215,0.0080220732947856,1.2602,,,,-0.04148,0.01582,0.01571,,,,,,,-0.2924,0.10693,0.10033,,-0.58351,0.22563,0.19614,,,,,,,,,,,,,,CLAS_EG1b
1.4212,0.0080220732947856,1.3001,,,,0.01417,0.01653,0.00934,,,,,,,0.12765,0.14139,0.06962,,0.22651,0.28395,0.12741,,,,,,,,,,,,,,CLAS_EG1b
1.4217,0.0080220732947856,1.3401,,,,0.01724,0.01782,0.00519,,,,,,,0.15813,0.16287,0.04589,,0.19505,0.31237,0.0866,,,,,,,,,,,,,,CLAS_EG1b
1.4233,0.0080220732947856,1.3802,,,,-0.0155,0.01952,0.00547,,,,,,,-0.13346,0.17357,0.04739,,-0.40328,0.31887,0.108,,,,,,,,,,,,,,CLAS_EG1b
1.4245,0.0080220732947856,1.4202,,,,0.01223,0.02109,0.00727,,,,,,,0.10575,0.17256,0.05698,,-0.00375,0.3045,0.13092,,,,,,,,,,,,,,CLAS_EG1b
1.4246,0.0080220732947856,1.4602,,,,0.02827,0.02268,0.0084,,,,,,,0.19329,0.156,0.05879,,0.12958,0.26504,0.13512,,,,,,,,,,,,,,CLAS_EG1b
1.4245,0.0080220732947856,1.5002,,,,-0.00459,0.02419,0.00961,,,,,,,-0.02507,0.13888,0.05906,,-0.17136,0.22814,0.13365,,,,,,,,,,,,,,CLAS_EG1b
1.4243,0.0080220732947856,1.5401,,,,0.05762,0.02614,0.01113,,,,,,,0.33344,0.15182,0.06533,,0.41691,0.24151,0.14032,,,,,,,,,,,,,,CLAS_EG1b
1.4244,0.0080220732947856,1.5801,,,,-0.01931,0.0283,0.01126,,,,,,,-0.11326,0.16503,0.06377,,-0.29676,0.25465,0.1383,,,,,,,,,,,,,,CLAS_EG1b
1.4253,0.0080220732947856,1.6201,,,,-0.06526,0.0316,0.01534,,,,,,,-0.35545,0.1736,0.07649,,-0.638,0.26037,0.14481,,,,,,,,,,,,,,CLAS_EG1b
1.4266,0.0080220732947856,1.6601,,,,0.06849,0.03606,0.02671,,,,,,,0.30845,0.16647,0.11483,,0.38936,0.24307,0.18104,,,,,,,,,,,,,,CLAS_EG1b
1.4268,0.0080220732947856,1.7002,,,,0.0365,0.0384,0.03604,,,,,,,0.14225,0.14776,0.14568,,0.14465,0.21062,0.21404,,,,,,,,,,,,,,CLAS_EG1b
1.4259,0.0080220732947856,1.7401,,,,-0.0138,0.03855,0.03652,,,,,,,-0.06245,0.15893,0.14935,,-0.12559,0.2215,0.21177,,,,,,,,,,,,,,CLAS_EG1b
1.4251,0.0080220732947856,1.7801,,,,0.04714,0.03844,0.02935,,,,,,,0.20414,0.16672,0.12465,,0.2595,0.22742,0.17092,,,,,,,,,,,,,,CLAS_EG1b
1.4253,0.0080220732947856,1.82,,,,-0.05345,0.03894,0.02212,,,,,,,-0.22813,0.16622,0.09319,,-0.31564,0.22228,0.12337,,,,,,,,,,,,,,CLAS_EG1b
1.4259,0.0080220732947856,1.86,,,,-0.03477,0.03978,0.02226,,,,,,,-0.14412,0.16235,0.08841,,-0.20806,0.21315,0.11507,,,,,,,,,,,,,,CLAS_EG1b
1.4271,0.0080220732947856,1.9,,,,-0.00791,0.04047,0.02451,,,,,,,-0.03649,0.15563,0.09308,,-0.06997,0.20088,0.12019,,,,,,,,,,,,,,CLAS_EG1b
1.4282,0.0080220732947856,1.9401,,,,-0.06725,0.0413,0.02434,,,,,,,-0.24137,0.14825,0.08673,,-0.31531,0.18834,0.11016,,,,,,,,,,,,,,CLAS_EG1b
1.4289,0.0080220732947856,1.9801,,,,0.03033,0.04201,0.02519,,,,,,,0.10307,0.14018,0.08332,,0.12605,0.17547,0.10398,,,,,,,,,,,,,,CLAS_EG1b
1.4291,0.0080220732947856,2.02,,,,-0.04654,0.04267,0.02601,,,,,,,-0.14408,0.13251,0.08055,,-0.18083,0.16361,0.09954,,,,,,,,,,,,,,CLAS_EG1b
1.429,0.0080220732947856,2.06,,,,-0.08058,0.04307,0.02519,,,,,,,-0.23457,0.1249,0.07252,,-0.28818,0.15226,0.0887,,,,,,,,,,,,,,CLAS_EG1b
1.4282,0.0080220732947856,2.1,,,,0.02988,0.04358,0.02365,,,,,,,0.08431,0.11858,0.06433,,0.10099,0.14283,0.07787,,,,,,,,,,,,,,CLAS_EG1b
1.4276,0.0080220732947856,2.14,,,,-0.07516,0.04433,0.02035,,,,,,,-0.19177,0.11371,0.05207,,-0.22875,0.13545,0.06244,,,,,,,,,,,,,,CLAS_EG1b
1.428,0.0080220732947856,2.18,,,,-0.07722,0.0451,0.01854,,,,,,,-0.18501,0.10948,0.04331,,-0.2175,0.12907,0.05105,,,,,,,,,,,,,,CLAS_EG1b
1.4273,0.0080220732947856,2.22,,,,-0.06224,0.04608,0.01974,,,,,,,-0.14619,0.10625,0.04414,,-0.17068,0.12406,0.05129,,,,,,,,,,,,,,CLAS_EG1b
1.4263,0.0080220732947856,2.2599,,,,-0.04951,0.0474,0.0202,,,,,,,-0.10893,0.10415,0.04356,,-0.12501,0.12052,0.05001,,,,,,,,,,,,,,CLAS_EG1b
1.4204,0.0080220732947856,2.2997,,,,-0.02564,0.04995,0.02475,,,,,,,-0.05547,0.10492,0.05106,,-0.06254,0.12037,0.05794,,,,,,,,,,,,,,CLAS_EG1b
1.4156,0.0080220732947856,2.3396,,,,0.09485,0.05373,0.03168,,,,,,,0.19056,0.10814,0.06374,,0.21859,0.12307,0.07202,,,,,,,,,,,,,,CLAS_EG1b
1.419,0.0080220732947856,2.3794,,,,0.0495,0.06479,0.03123,,,,,,,0.09743,0.1255,0.06106,,0.1125,0.14186,0.06864,,,,,,,,,,,,,,CLAS_EG1b
1.4169,0.0080220732947856,2.4188,,,,-0.15797,0.07695,0.02334,,,,,,,-0.29202,0.14316,0.04244,,-0.32503,0.16065,0.04702,,,,,,,,,,,,,,CLAS_EG1b
1.4291,0.0080220732947856,2.46,,,,-0.18571,0.08123,0.02107,,,,,,,-0.3343,0.1457,0.03466,,-0.37059,0.16253,0.03755,,,,,,,,,,,,,,CLAS_EG1b
1.4304,0.0080220732947856,2.5001,,,,-0.08505,0.08115,0.02997,,,,,,,-0.14903,0.14093,0.05029,,-0.16278,0.15628,0.05488,,,,,,,,,,,,,,CLAS_EG1b
1.4332,0.0080220732947856,2.5402,,,,-0.02356,0.08008,0.03346,,,,,,,-0.04141,0.13527,0.05579,,-0.04312,0.14918,0.06088,,,,,,,,,,,,,,CLAS_EG1b
1.4354,0.0080220732947856,2.5802,,,,-0.18717,0.0785,0.0288,,,,,,,-0.30793,0.12952,0.04645,,-0.33456,0.1421,0.05021,,,,,,,,,,,,,,CLAS_EG1b
1.4348,0.0080220732947856,2.6202,,,,-0.07959,0.07679,0.02922,,,,,,,-0.12987,0.12422,0.04606,,-0.13893,0.13562,0.04939,,,,,,,,,,,,,,CLAS_EG1b
1.431,0.0080220732947856,2.6602,,,,-0.05383,0.07565,0.0364,,,,,,,-0.08558,0.12036,0.05744,,-0.08969,0.13079,0.06172,,,,,,,,,,,,,,CLAS_EG1b
1.4293,0.0080220732947856,2.7001,,,,0.03468,0.07539,0.04356,,,,,,,0.05422,0.1182,0.06809,,0.06199,0.12788,0.07312,,,,,,,,,,,,,,CLAS_EG1b
1.4301,0.0080220732947856,2.7401,,,,-0.03978,0.07561,0.04766,,,,,,,-0.06174,0.11695,0.07362,,-0.06314,0.12603,0.07886,,,,,,,,,,,,,,CLAS_EG1b
1.4254,0.0080220732947856,2.7794,,,,-0.03415,0.07826,0.04668,,,,,,,-0.05207,0.11946,0.07107,,-0.05238,0.12823,0.07584,,,,,,,,,,,,,,CLAS_EG1b
1.3649,0.0080220732947856,2.8104,,,,-0.28013,0.14695,0.03776,,,,,,,-0.42293,0.22181,0.05672,,-0.44843,0.23699,0.06033,,,,,,,,,,,,,,CLAS_EG1b
1.6998,0.0080220732947856,1.1803,,,,0.00216,0.01376,0.01004,,,,,,,-0.00143,0.15936,0.10246,,0.07914,0.35251,0.19928,,,,,,,,,,,,,,CLAS_EG1b
1.698,0.0080220732947856,1.2202,,,,-0.00318,0.01479,0.0143,,,,,,,-0.02543,0.11742,0.12353,,0.00678,0.24959,0.24187,,,,,,,,,,,,,,CLAS_EG1b
1.696,0.0080220732947856,1.2602,,,,0.00962,0.01564,0.01283,,,,,,,0.09678,0.15035,0.11633,,0.23159,0.30647,0.22642,,,,,,,,,,,,,,CLAS_EG1b
1.6951,0.0080220732947856,1.3002,,,,0.01444,0.01642,0.00768,,,,,,,0.17905,0.19646,0.08096,,0.32992,0.38382,0.15013,,,,,,,,,,,,,,CLAS_EG1b
1.6938,0.0080220732947856,1.3402,,,,0.00159,0.01786,0.00464,,,,,,,0.01964,0.22457,0.0565,,-0.05385,0.42149,0.1034,,,,,,,,,,,,,,CLAS_EG1b
1.6933,0.0080220732947856,1.4202,,,,-0.01157,0.02295,0.00772,,,,,,,-0.13461,0.25104,0.07616,,-0.42037,0.43803,0.14226,,,,,,,,,,,,,,CLAS_EG1b
1.6951,0.0080220732947856,1.4603,,,,0.00937,0.02575,0.01061,,,,,,,0.08752,0.23335,0.09421,,-0.05805,0.39349,0.16889,,,,,,,,,,,,,,CLAS_EG1b
1.6959,0.0080220732947856,1.5002,,,,0.02908,0.02738,0.01157,,,,,,,0.21899,0.2039,0.09307,,0.23045,0.33346,0.16808,,,,,,,,,,,,,,CLAS_EG1b
1.6969,0.0080220732947856,1.5402,,,,0.03315,0.02837,0.01207,,,,,,,0.24728,0.2127,0.09167,,0.28584,0.33782,0.16359,,,,,,,,,,,,,,CLAS_EG1b
1.6984,0.0080220732947856,1.5802,,,,0.03013,0.02942,0.01276,,,,,,,0.22462,0.21962,0.09478,,0.23596,0.33918,0.16331,,,,,,,,,,,,,,CLAS_EG1b
1.6999,0.0080220732947856,1.6202,,,,0.01206,0.03042,0.0143,,,,,,,0.08704,0.20984,0.09497,,0.03857,0.31563,0.15619,,,,,,,,,,,,,,CLAS_EG1b
1.7009,0.0080220732947856,1.6602,,,,0.03505,0.03163,0.0188,,,,,,,0.18758,0.17887,0.10236,,0.22457,0.26243,0.15662,,,,,,,,,,,,,,CLAS_EG1b
1.7019,0.0080220732947856,1.7002,,,,-0.00327,0.03276,0.02466,,,,,,,-0.01639,0.15365,0.12269,,-0.07432,0.2205,0.1779,,,,,,,,,,,,,,CLAS_EG1b
1.7022,0.0080220732947856,1.7401,,,,0.01429,0.03312,0.02674,,,,,,,0.08092,0.16794,0.13546,,0.07972,0.23596,0.19072,,,,,,,,,,,,,,CLAS_EG1b
1.7031,0.0080220732947856,1.7801,,,,0.01048,0.03326,0.02276,,,,,,,0.05749,0.17869,0.11937,,0.06682,0.24598,0.16376,,,,,,,,,,,,,,CLAS_EG1b
1.7036,0.0080220732947856,1.8201,,,,-0.03218,0.03359,0.01818,,,,,,,-0.1712,0.17775,0.09492,,-0.23732,0.24009,0.12655,,,,,,,,,,,,,,CLAS_EG1b
1.7031,0.0080220732947856,1.8601,,,,0.01307,0.03408,0.01961,,,,,,,0.065,0.17215,0.09746,,0.07148,0.22843,0.12834,,,,,,,,,,,,,,CLAS_EG1b
1.7025,0.0080220732947856,1.9001,,,,0.00616,0.03453,0.02166,,,,,,,0.02814,0.16374,0.10254,,0.01626,0.21369,0.13388,,,,,,,,,,,,,,CLAS_EG1b
1.7019,0.0080220732947856,1.9401,,,,-0.02346,0.03505,0.02036,,,,,,,-0.1029,0.15457,0.09028,,-0.14133,0.19861,0.11635,,,,,,,,,,,,,,CLAS_EG1b
1.7011,0.0080220732947856,1.9801,,,,-0.0189,0.03592,0.02045,,,,,,,-0.08008,0.14664,0.08209,,-0.10714,0.1857,0.10392,,,,,,,,,,,,,,CLAS_EG1b
1.7002,0.0080220732947856,2.02,,,,-0.02573,0.03674,0.02344,,,,,,,-0.09613,0.13903,0.08769,,-0.125,0.17368,0.10972,,,,,,,,,,,,,,CLAS_EG1b
1.6995,0.0080220732947856,2.06,,,,-0.00051,0.03777,0.02364,,,,,,,-0.00171,0.13294,0.08384,,-0.00613,0.16397,0.10414,,,,,,,,,,,,,,CLAS_EG1b
1.6991,0.0080220732947856,2.1,,,,-0.00487,0.03862,0.02052,,,,,,,-0.02113,0.12714,0.06811,,-0.02999,0.15495,0.084,,,,,,,,,,,,,,CLAS_EG1b
1.6969,0.0080220732947856,2.1398,,,,-0.03407,0.04002,0.01881,,,,,,,-0.10588,0.12383,0.05753,,-0.13002,0.14924,0.07021,,,,,,,,,,,,,,CLAS_EG1b
1.6918,0.0080220732947856,2.1797,,,,-0.0322,0.04273,0.01972,,,,,,,-0.092,0.12475,0.05672,,-0.11088,0.14876,0.06829,,,,,,,,,,,,,,CLAS_EG1b
1.6911,0.0080220732947856,2.2197,,,,-0.03137,0.04575,0.02245,,,,,,,-0.08937,0.1265,0.0612,,-0.10707,0.14938,0.07261,,,,,,,,,,,,,,CLAS_EG1b
1.6996,0.0080220732947856,2.2597,,,,0.01219,0.05544,0.02546,,,,,,,0.03258,0.14597,0.0665,,0.03779,0.1709,0.07806,,,,,,,,,,,,,,CLAS_EG1b
1.7075,0.0080220732947856,2.3001,,,,-0.04917,0.06309,0.03012,,,,,,,-0.12495,0.15797,0.07443,,-0.14533,0.18335,0.0864,,,,,,,,,,,,,,CLAS_EG1b
1.6995,0.0080220732947856,2.3395,,,,-0.01463,0.0635,0.03308,,,,,,,-0.03272,0.15186,0.07817,,-0.03666,0.17477,0.09003,,,,,,,,,,,,,,CLAS_EG1b
1.7055,0.0080220732947856,2.3795,,,,-0.22613,0.06489,0.03098,,,,,,,-0.51796,0.14876,0.06955,,-0.59088,0.16998,0.07946,,,,,,,,,,,,,,CLAS_EG1b
1.7108,0.0080220732947856,2.4201,,,,-0.01669,0.06553,0.02846,,,,,,,-0.03734,0.1442,0.06082,,-0.04126,0.16362,0.06879,,,,,,,,,,,,,,CLAS_EG1b
1.7096,0.0080220732947856,2.4601,,,,-0.20694,0.06513,0.02365,,,,,,,-0.43722,0.13794,0.0483,,-0.49105,0.15548,0.05423,,,,,,,,,,,,,,CLAS_EG1b
1.7061,0.0080220732947856,2.5001,,,,-0.1713,0.06507,0.01799,,,,,,,-0.34996,0.13314,0.03293,,-0.39005,0.14911,0.03624,,,,,,,,,,,,,,CLAS_EG1b
1.7043,0.0080220732947856,2.54,,,,-0.14929,0.06545,0.0208,,,,,,,-0.29685,0.12997,0.03834,,-0.32857,0.14471,0.04199,,,,,,,,,,,,,,CLAS_EG1b
1.7043,0.0080220732947856,2.58,,,,-0.13423,0.06607,0.02323,,,,,,,-0.25947,0.1279,0.0429,,-0.28499,0.14161,0.04694,,,,,,,,,,,,,,CLAS_EG1b
1.7056,0.0080220732947856,2.62,,,,-0.18738,0.06673,0.02291,,,,,,,-0.35577,0.1264,0.04152,,-0.38973,0.13924,0.04512,,,,,,,,,,,,,,CLAS_EG1b
1.7064,0.0080220732947856,2.6601,,,,-0.0705,0.06712,0.02768,,,,,,,-0.13027,0.12478,0.05037,,-0.13999,0.13679,0.05459,,,,,,,,,,,,,,CLAS_EG1b
1.7067,0.0080220732947856,2.7002,,,,-0.03659,0.06761,0.03619,,,,,,,-0.06689,0.12366,0.06581,,-0.07026,0.13494,0.07129,,,,,,,,,,,,,,CLAS_EG1b
1.6838,0.0080220732947856,2.7379,,,,0.00408,0.07531,0.04148,,,,,,,0.00684,0.13581,0.07463,,0.00997,0.14751,0.08061,,,,,,,,,,,,,,CLAS_EG1b
1.6085,0.0080220732947856,2.7686,,,,-0.03743,0.17111,0.03611,,,,,,,-0.06769,0.30506,0.06449,,-0.07073,0.3296,0.06945,,,,,,,,,,,,,,CLAS_EG1b
2.0273,0.0080220732947856,1.2204,,,,-0.02692,0.01696,0.01096,,,,,,,-0.31446,0.20145,0.14189,,-0.57236,0.40854,0.27764,,,,,,,,,,,,,,CLAS_EG1b
2.029,0.0080220732947856,1.2603,,,,-0.02718,0.01732,0.01027,,,,,,,-0.39982,0.24782,0.14309,,-0.73747,0.4851,0.27578,,,,,,,,,,,,,,CLAS_EG1b
2.0296,0.0080220732947856,1.3003,,,,0.02027,0.01768,0.00817,,,,,,,0.35759,0.3108,0.13711,,0.67405,0.5868,0.25605,,,,,,,,,,,,,,CLAS_EG1b
2.0283,0.0080220732947856,1.4203,,,,-0.00813,0.02086,0.00889,,,,,,,-0.13481,0.31951,0.12925,,-0.39455,0.54716,0.21312,,,,,,,,,,,,,,CLAS_EG1b
2.0276,0.0080220732947856,1.4603,,,,0.01094,0.02196,0.01017,,,,,,,0.11678,0.27369,0.12698,,-0.01388,0.45499,0.19935,,,,,,,,,,,,,,CLAS_EG1b
