Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
4.2,0.37,29.1,,,,,0.362,0.089,0.02,0.0912,0.349,0.096,0.021,0.0983
7.69,0.37,29.1,,,,,0.432,0.055,0.022,0.0592,0.448,0.057,0.023,0.0615
2.93,0.416,16.2,,,,,0.529,0.087,0.02,0.0893,0.589,0.087,0.021,0.0895
4.3,0.416,29.1,,,,,0.676,0.108,0.021,0.11,0.681,0.118,0.023,0.1202
8.03,0.416,29.1,,,,,0.597,0.065,0.021,0.0683,0.611,0.067,0.022,0.0705
3.01,0.468,16.2,,,,,0.590,0.101,0.027,0.1045,0.677,0.101,0.028,0.1048
4.4,0.468,29.1,,,,,0.713,0.136,0.022,0.1378,0.828,0.151,0.024,0.1529
8.37,0.468,29.1,,,,,0.584,0.078,0.023,0.0813,0.589,0.082,0.025,0.0857
4.47,0.526,29.1,,,,,0.731,0.169,0.022,0.1704,0.841,0.194,0.025,0.1956
8.67,0.526,29.1,,,,,0.652,0.096,0.024,0.099,0.678,0.102,0.028,0.1058
4.55,0.592,29.1,,,,,0.382,0.217,0.021,0.218,0.479,0.255,0.026,0.2563
8.98,0.592,29.1,,,,,0.670,0.123,0.025,0.1255,0.695,0.133,0.031,0.1366
9.26,0.666,29.1,,,,,0.478,0.165,0.026,0.167,0.612,0.182,0.033,0.185
9.52,0.749,29.1,,,,,0.744,0.237,0.031,0.239,0.914,0.273,0.041,0.2761
1.27,0.031,,0.248,0.132,0.034,0.1363,,,,,,,,
1.4,0.035,,0.436,0.089,0.032,0.0946,,,,,,,,
1.52,0.039,,0.269,0.073,0.025,0.0772,,,,,,,,
1.65,0.044,,0.322,0.062,0.022,0.0658,,,,,,,,
1.78,0.049,,0.327,0.053,0.019,0.0563,,,,,,,,
1.91,0.056,,0.309,0.045,0.017,0.0481,,,,,,,,
2.04,0.063,,0.266,0.039,0.015,0.0418,,,,,,,,
2.19,0.071,,0.294,0.034,0.014,0.0368,,,,,,,,
2.41,0.079,,0.31,0.031,0.014,0.034,,,,,,,,
